County,Registered Voters,Ballots Cast,Voter Turnout
PITTSBURGH WRD 14 DIST 31,1131,799,70.65 %
PITTSBURGH WRD 14 DIST 32,808,403,49.88 %
PITTSBURGH WRD 14 DIST 33,838,463,55.25 %
PITTSBURGH WRD 14 DIST 34,873,459,52.58 %
PITTSBURGH WRD 14 DIST 35,642,358,55.76 %
PITTSBURGH WRD 14 DIST 36,856,423,49.42 %
PITTSBURGH WRD 14 DIST 37,671,355,52.91 %
PITTSBURGH WRD 14 DIST 38,587,336,57.24 %
PITTSBURGH WRD 14 DIST 39,629,389,61.84 %
PITTSBURGH WRD 14 DIST 40,550,271,49.27 %
PITTSBURGH WRD 14 DIST 41,79,39,49.37 %
PITTSBURGH WARD 15 DIST 1,644,335,52.02 %
PITTSBURGH WARD 15 DIST 2,750,429,57.20 %
PITTSBURGH WARD 15 DIST 3,652,383,58.74 %
PITTSBURGH WARD 15 DIST 4,661,404,61.12 %
PITTSBURGH WARD 15 DIST 5,599,340,56.76 %
PITTSBURGH WARD 15 DIST 6,552,347,62.86 %
PITTSBURGH WARD 15 DIST 7,721,466,64.63 %
PITTSBURGH WARD 15 DIST 8,629,367,58.35 %
PITTSBURGH WARD 15 DIST 9,172,89,51.74 %
PITTSBURGH WRD 15 DIST 10,632,395,62.50 %
PITTSBURGH WRD 15 DIST 11,575,337,58.61 %
PITTSBURGH WRD 15 DIST 12,489,295,60.33 %
PITTSBURGH WRD 15 DIST 13,464,203,43.75 %
PITTSBURGH WRD 15 DIST 14,312,123,39.42 %
PITTSBURGH WRD 15 DIST 15,383,127,33.16 %
PITTSBURGH WRD 15 DIST 16,543,273,50.28 %
PITTSBURGH WRD 15 DIST 17,30,17,56.67 %
PITTSBURGH WRD 15 DIST 18,558,256,45.88 %
PITTSBURGH WRD 15 DIST 19,519,202,38.92 %
PITTSBURGH WARD 16 DIST 1,897,403,44.93 %
PITTSBURGH WARD 16 DIST 2,1268,603,47.56 %
PITTSBURGH WARD 16 DIST 3,917,474,51.69 %
PITTSBURGH WARD 16 DIST 4,418,191,45.69 %
PITTSBURGH WARD 16 DIST 5,621,301,48.47 %
PITTSBURGH WARD 16 DIST 6,473,256,54.12 %
PITTSBURGH WARD 16 DIST 7,402,181,45.02 %
PITTSBURGH WARD 16 DIST 8,179,52,29.05 %
PITTSBURGH WARD 16 DIST 9,534,233,43.63 %
PITTSBURGH WRD 16 DIST 10,397,179,45.09 %
PITTSBURGH WRD 16 DIST 11,402,178,44.28 %
PITTSBURGH WARD 17 DIST 1,181,57,31.49 %
PITTSBURGH WARD 17 DIST 2,897,432,48.16 %
PITTSBURGH WARD 17 DIST 3,659,324,49.17 %
PITTSBURGH WARD 17 DIST 4,818,401,49.02 %
PITTSBURGH WARD 17 DIST 5,595,305,51.26 %
PITTSBURGH WARD 17 DIST 6,446,167,37.44 %
PITTSBURGH WARD 17 DIST 7,412,209,50.73 %
PITTSBURGH WARD 17 DIST 8,470,223,47.45 %
PITTSBURGH WARD 18 DIST 1,572,345,60.31 %
PITTSBURGH WARD 18 DIST 2,441,208,47.17 %
PITTSBURGH WARD 18 DIST 3,373,188,50.40 %
PITTSBURGH WARD 18 DIST 4,467,203,43.47 %
PITTSBURGH WARD 18 DIST 5,950,518,54.53 %
PITTSBURGH WARD 18 DIST 6,391,156,39.90 %
PITTSBURGH WARD 18 DIST 7,446,196,43.95 %
PITTSBURGH WARD 18 DIST 8,264,92,34.85 %
PITTSBURGH WARD 18 DIST 9,698,252,36.10 %
PITTSBURGH WRD 18 DIST 10,79,32,40.51 %
PITTSBURGH WRD 18 DIST 11,559,178,31.84 %
PITTSBURGH WARD 19 DIST 1,557,336,60.32 %
PITTSBURGH WARD 19 DIST 2,701,361,51.50 %
PITTSBURGH WARD 19 DIST 3,580,341,58.79 %
PITTSBURGH WARD 19 DIST 4,428,258,60.28 %
PITTSBURGH WARD 19 DIST 5,442,263,59.50 %
PITTSBURGH WARD 19 DIST 6,522,285,54.60 %
PITTSBURGH WARD 19 DIST 7,230,124,53.91 %
PITTSBURGH WARD 19 DIST 8,596,284,47.65 %
PITTSBURGH WARD 19 DIST 9,556,279,50.18 %
PITTSBURGH WRD 19 DIST 10,711,343,48.24 %
PITTSBURGH WRD 19 DIST 11,536,221,41.23 %
PITTSBURGH WRD 19 DIST 12,436,279,63.99 %
PITTSBURGH WRD 19 DIST 13,482,223,46.27 %
PITTSBURGH WRD 19 DIST 14,579,261,45.08 %
PITTSBURGH WRD 19 DIST 15,631,352,55.78 %
PITTSBURGH WRD 19 DIST 16,588,320,54.42 %
PITTSBURGH WRD 19 DIST 17,569,335,58.88 %
PITTSBURGH WRD 19 DIST 18,478,246,51.46 %
PITTSBURGH WRD 19 DIST 19,545,279,51.19 %
PITTSBURGH WRD 19 DIST 20,517,313,60.54 %
PITTSBURGH WRD 19 DIST 21,643,351,54.59 %
PITTSBURGH WRD 19 DIST 22,551,308,55.90 %
PITTSBURGH WRD 19 DIST 23,618,339,54.85 %
PITTSBURGH WRD 19 DIST 24,492,289,58.74 %
PITTSBURGH WRD 19 DIST 25,532,338,63.53 %
PITTSBURGH WRD 19 DIST 26,478,267,55.86 %
PITTSBURGH WRD 19 DIST 27,464,251,54.09 %
PITTSBURGH WRD 19 DIST 28,647,465,71.87 %
PITTSBURGH WRD 19 DIST 29,530,318,60.00 %
PITTSBURGH WRD 19 DIST 30,533,319,59.85 %
PITTSBURGH WRD 19 DIST 31,500,297,59.40 %
PITTSBURGH WRD 19 DIST 32,525,323,61.52 %
PITTSBURGH WRD 19 DIST 33,461,267,57.92 %
PITTSBURGH WRD 19 DIST 34,519,310,59.73 %
PITTSBURGH WRD 19 DIST 35,513,293,57.12 %
PITTSBURGH WRD 19 DIST 36,660,372,56.36 %
PITTSBURGH WRD 19 DIST 37,454,282,62.11 %
PITTSBURGH WRD 19 DIST 38,542,289,53.32 %
PITTSBURGH WARD 20 DIST 1,629,361,57.39 %
PITTSBURGH WARD 20 DIST 2,223,120,53.81 %
PITTSBURGH WARD 20 DIST 3,694,403,58.07 %
PITTSBURGH WARD 20 DIST 4,63,31,49.21 %
PITTSBURGH WARD 20 DIST 5,569,284,49.91 %
PITTSBURGH WARD 20 DIST 6,546,245,44.87 %
PITTSBURGH WARD 20 DIST 7,697,304,43.62 %
PITTSBURGH WARD 20 DIST 8,733,349,47.61 %
PITTSBURGH WARD 20 DIST 9,211,84,39.81 %
PITTSBURGH WRD 20 DIST 10,661,262,39.64 %
PITTSBURGH WRD 20 DIST 11,679,270,39.76 %
PITTSBURGH WRD 20 DIST 12,940,462,49.15 %
PITTSBURGH WRD 20 DIST 13,473,269,56.87 %
PITTSBURGH WRD 20 DIST 14,883,439,49.72 %
PITTSBURGH WRD 20 DIST 15,954,403,42.24 %
PITTSBURGH WRD 20 DIST 16,670,417,62.24 %
PITTSBURGH WRD 20 DIST 17,425,291,68.47 %
PITTSBURGH WRD 20 DIST 18,515,317,61.55 %
PITTSBURGH WRD 21 DIST 1,482,206,42.74 %
PITTSBURGH WARD 21 DIST 2,473,247,52.22 %
PITTSBURGH WARD 21 DIST 3,676,360,53.25 %
PITTSBURGH WARD 21 DIST 4,640,354,55.31 %
PITTSBURGH WARD 22 DIST 1,736,438,59.51 %
PITTSBURGH WARD 22 DIST 2,694,419,60.37 %
PITTSBURGH WARD 22 DIST 3,708,377,53.25 %
PITTSBURGH WARD 22 DIST 4,859,331,38.53 %
PITTSBURGH WARD 23 DIST 1,1263,566,44.81 %
PITTSBURGH WARD 23 DIST 2,807,382,47.34 %
PITTSBURGH WARD 23 DIST 3,423,159,37.59 %
PITTSBURGH WARD 24 DIST 1,424,201,47.41 %
PITTSBURGH WARD 24 DIST 2,451,233,51.66 %
PITTSBURGH WARD 24 DIST 3,372,182,48.92 %
PITTSBURGH WARD 24 DIST 4,610,345,56.56 %
PITTSBURGH WARD 24 DIST 5,530,234,44.15 %
PITTSBURGH WARD 24 DIST 6,549,276,50.27 %
PITTSBURGH WARD 25 DIST 1,445,253,56.85 %
PITTSBURGH WARD 25 DIST 2,430,212,49.30 %
PITTSBURGH WARD 25 DIST 3,572,293,51.22 %
PITTSBURGH WARD 25 DIST 4,355,126,35.49 %
PITTSBURGH WARD 25 DIST 5,379,178,46.97 %
PITTSBURGH WARD 25 DIST 6,388,135,34.79 %
PITTSBURGH WARD 25 DIST 7,418,227,54.31 %
PITTSBURGH WARD 26 DIST 1,557,275,49.37 %
PITTSBURGH WARD 26 DIST 2,483,228,47.20 %
PITTSBURGH WARD 26 DIST 3,448,228,50.89 %
PITTSBURGH WARD 26 DIST 4,425,184,43.29 %
PITTSBURGH WARD 26 DIST 5,491,149,30.35 %
PITTSBURGH WARD 26 DIST 6,379,129,34.04 %
PITTSBURGH WARD 26 DIST 7,317,151,47.63 %
PITTSBURGH WARD 26 DIST 8,651,195,29.95 %
PITTSBURGH WARD 26 DIST 9,349,208,59.60 %
PITTSBURGH WRD 26 DIST 10,685,378,55.18 %
PITTSBURGH WRD 26 DIST 11,733,401,54.71 %
PITTSBURGH WRD 26 DIST 12,501,259,51.70 %
PITTSBURGH WRD 26 DIST 13,568,298,52.46 %
PITTSBURGH WRD 26 DIST 14,590,368,62.37 %
PITTSBURGH WRD 26 DIST 15,512,291,56.84 %
PITTSBURGH WRD 26 DIST 16,725,389,53.66 %
PITTSBURGH WRD 26 DIST 17,209,97,46.41 %
PITTSBURGH WARD 27 DIST 1,781,509,65.17 %
PITTSBURGH WARD 27 DIST 2,679,413,60.82 %
PITTSBURGH WARD 27 DIST 3,586,343,58.53 %
PITTSBURGH WARD 27 DIST 4,737,402,54.55 %
PITTSBURGH WARD 27 DIST 5,711,438,61.60 %
PITTSBURGH WARD 27 DIST 6,766,380,49.61 %
PITTSBURGH WARD 27 DIST 7,632,381,60.28 %
PITTSBURGH WARD 27 DIST 8,599,328,54.76 %
PITTSBURGH WARD 27 DIST 9,619,265,42.81 %
PITTSBURGH WRD 27 DIST 10,632,306,48.42 %
PITTSBURGH WRD 27 DIST 11,634,272,42.90 %
PITTSBURGH WRD 27 DIST 12,536,218,40.67 %
PITTSBURGH WRD 27 DIST 13,583,288,49.40 %
PITTSBURGH WARD 28 DIST 1,695,388,55.83 %
PITTSBURGH WARD 28 DIST 2,530,263,49.62 %
PITTSBURGH WARD 28 DIST 3,878,533,60.71 %
PITTSBURGH WARD 28 DIST 4,652,383,58.74 %
PITTSBURGH WARD 28 DIST 5,687,378,55.02 %
PITTSBURGH WARD 28 DIST 6,582,335,57.56 %
PITTSBURGH WARD 28 DIST 7,691,235,34.01 %
PITTSBURGH WARD 28 DIST 8,855,543,63.51 %
PITTSBURGH WARD 28 DIST 9,626,355,56.71 %
PITTSBURGH WRD 28 DIST 10,538,222,41.26 %
PITTSBURGH WRD 28 DIST 11,139,63,45.32 %
PITTSBURGH WARD 29 DIST 1,637,291,45.68 %
PITTSBURGH WARD 29 DIST 2,547,318,58.14 %
PITTSBURGH WARD 29 DIST 3,459,220,47.93 %
PITTSBURGH WARD 29 DIST 4,547,238,43.51 %
PITTSBURGH WARD 29 DIST 5,582,250,42.96 %
PITTSBURGH WARD 29 DIST 6,590,301,51.02 %
PITTSBURGH WARD 29 DIST 7,685,381,55.62 %
PITTSBURGH WARD 29 DIST 8,537,232,43.20 %
PITTSBURGH WARD 29 DIST 9,458,186,40.61 %
PITTSBURGH WRD 29 DIST 10,540,299,55.37 %
PITTSBURGH WRD 29 DIST 11,648,340,52.47 %
PITTSBURGH WRD 29 DIST 12,555,219,39.46 %
PITTSBURGH WARD 30 DIST 1,418,157,37.56 %
PITTSBURGH WARD 30 DIST 2,421,217,51.54 %
PITTSBURGH WARD 30 DIST 3,354,101,28.53 %
PITTSBURGH WARD 30 DIST 4,613,243,39.64 %
PITTSBURGH WARD 30 DIST 5,667,285,42.73 %
PITTSBURGH WARD 31 DIST 1,222,103,46.40 %
PITTSBURGH WARD 31 DIST 2,428,285,66.59 %
PITTSBURGH WARD 31 DIST 3,566,322,56.89 %
PITTSBURGH WARD 31 DIST 4,559,313,55.99 %
PITTSBURGH WARD 31 DIST 5,700,441,63.00 %
PITTSBURGH WARD 31 DIST 6,549,323,58.83 %
PITTSBURGH WARD 31 DIST 7,143,81,56.64 %
PITTSBURGH WARD 32 DIST 1,505,250,49.50 %
PITTSBURGH WARD 32 DIST 2,639,318,49.77 %
PITTSBURGH WARD 32 DIST 3,525,289,55.05 %
PITTSBURGH WARD 32 DIST 4,361,195,54.02 %
PITTSBURGH WARD 32 DIST 5,579,366,63.21 %
PITTSBURGH WARD 32 DIST 6,612,327,53.43 %
PITTSBURGH WARD 32 DIST 7,536,317,59.14 %
PITTSBURGH WARD 32 DIST 8,656,427,65.09 %
PLEASANT HL DIST 1,744,415,55.78 %
PLEASANT HL DIST 2,556,366,65.83 %
PLEASANT HL DIST 3,555,381,68.65 %
PLEASANT HL DIST 4,550,328,59.64 %
PLEASANT HL DIST 5,743,425,57.20 %
PLEASANT HL DIST 6,946,608,64.27 %
PLEASANT HL DIST 7,523,364,69.60 %
PLEASANT HL DIST 8,527,351,66.60 %
PLEASANT HL DIST 9,649,462,71.19 %
PLEASANT HL DIST 10,508,326,64.17 %
PLUM DIST 1,1799,1034,57.48 %
PLUM DIST 2,599,361,60.27 %
PLUM DIST 3,963,633,65.73 %
PLUM DIST 4,829,521,62.85 %
PLUM DIST 5,885,548,61.92 %
PLUM DIST 6,1247,775,62.15 %
PLUM DIST 7,1260,756,60.00 %
PLUM DIST 8,587,357,60.82 %
PLUM DIST 9,1112,720,64.75 %
PLUM DIST 10,594,352,59.26 %
PLUM DIST 11,803,505,62.89 %
PLUM DIST 12,1069,710,66.42 %
PLUM DIST 13,565,370,65.49 %
PLUM DIST 14,743,412,55.45 %
PLUM DIST 15,800,408,51.00 %
PLUM DIST 16,577,352,61.01 %
PLUM DIST 17,706,399,56.52 %
PLUM DIST 18,827,546,66.02 %
PLUM DIST 19,1926,1101,57.17 %
PLUM DIST 20,867,501,57.79 %
PLUM DIST 21,407,239,58.72 %
PORT VUE DIST 1,603,286,47.43 %
PORT VUE DIST 2,531,258,48.59 %
PORT VUE DIST 3,546,317,58.06 %
PORT VUE DIST 4,698,374,53.58 %
RANKIN WARD 1,366,181,49.45 %
RANKIN WARD 2,416,208,50.00 %
RANKIN WARD 3,610,222,36.39 %
RESERVE WARD 1,534,356,66.67 %
RESERVE WARD 2,573,377,65.79 %
RESERVE WARD 3,523,344,65.77 %
RESERVE WARD 4,863,509,58.98 %
RICHLAND DIST 1,1083,745,68.79 %
RICHLAND DIST 2,1146,749,65.36 %
RICHLAND DIST 3,1159,771,66.52 %
RICHLAND DIST 4,1145,791,69.08 %
RICHLAND DIST 5,1009,683,67.69 %
RICHLAND DIST 6,1086,744,68.51 %
RICHLAND DIST 7,1120,757,67.59 %
RICHLAND DIST 8,917,526,57.36 %
ROBINSON DIST 1,1649,1055,63.98 %
ROBINSON DIST 2,982,676,68.84 %
ROBINSON DIST 3,666,422,63.36 %
ROBINSON DIST 4,793,498,62.80 %
ROBINSON DIST 5,612,431,70.42 %
ROBINSON DIST 6,903,495,54.82 %
ROBINSON DIST 7,1384,936,67.63 %
ROBINSON DIST 8,1626,870,53.51 %
ROBINSON DIST 9,2475,1480,59.80 %
ROSS WARD 1 DIST 1,751,526,70.04 %
ROSS WARD 1 DIST 2,637,426,66.88 %
ROSS WARD 1 DIST 3,499,300,60.12 %
ROSS WARD 1 DIST 4,861,566,65.74 %
ROSS WARD 2 DIST 1,1215,746,61.40 %
ROSS WARD 2 DIST 2,952,661,69.43 %
ROSS WARD 2 DIST 3,727,497,68.36 %
ROSS WARD 3 DIST 1,666,466,69.97 %
ROSS WARD 3 DIST 2,688,485,70.49 %
ROSS WARD 3 DIST 3,553,356,64.38 %
ROSS WARD 3 DIST 4,713,495,69.42 %
ROSS WARD 4 DIST 1,890,600,67.42 %
ROSS WARD 4 DIST 2,828,593,71.62 %
ROSS WARD 4 DIST 3,722,509,70.50 %
ROSS WARD 4 DIST 4,708,467,65.96 %
ROSS WARD 5 DIST 1,611,438,71.69 %
ROSS WARD 5 DIST 2,412,277,67.23 %
ROSS WARD 5 DIST 3,794,496,62.47 %
ROSS WARD 5 DIST 4,760,516,67.89 %
ROSS WARD 6 DIST 1,524,326,62.21 %
ROSS WARD 6 DIST 2,976,621,63.63 %
ROSS WARD 6 DIST 3,673,410,60.92 %
ROSS WARD 6 DIST 4,586,356,60.75 %
ROSS WARD 7 DIST 1,606,390,64.36 %
ROSS WARD 7 DIST 2,561,303,54.01 %
ROSS WARD 7 DIST 3,719,474,65.92 %
ROSS WARD 7 DIST 4,616,383,62.18 %
ROSS WARD 8 DIST 1,1625,950,58.46 %
ROSS WARD 8 DIST 2,528,333,63.07 %
ROSS WARD 8 DIST 3,544,376,69.12 %
ROSS WARD 9 DIST 1,813,579,71.22 %
ROSS WARD 9 DIST 2,964,636,65.98 %
ROSS WARD 9 DIST 3,822,534,64.96 %
ROSSLYN FARM,397,301,75.82 %
SCOTT WARD 1 DIST 1,580,296,51.03 %
SCOTT WARD 1 DIST 2,660,331,50.15 %
SCOTT WARD 2 DIST 1,485,314,64.74 %
SCOTT WARD 2 DIST 2,670,465,69.40 %
SCOTT WARD 3 DIST 1,513,351,68.42 %
SCOTT WARD 3 DIST 2,716,439,61.31 %
SCOTT WARD 4 DIST 1,775,544,70.19 %
SCOTT WARD 4 DIST 2,620,426,68.71 %
SCOTT WARD 5 DIST 1,594,364,61.28 %
SCOTT WARD 5 DIST 2,753,504,66.93 %
SCOTT WARD 6 DIST 1,684,414,60.53 %
SCOTT WARD 6 DIST 2,803,531,66.13 %
SCOTT WARD 7 DIST 1,924,603,65.26 %
SCOTT WARD 7 DIST 2,627,437,69.70 %
SCOTT WARD 8 DIST 1,516,381,73.84 %
SCOTT WARD 8 DIST 2,1024,684,66.80 %
SCOTT WARD 9 DIST 1,299,145,48.49 %
SCOTT WARD 9 DIST 2,328,198,60.37 %
SEWICKLEY WARD 1,994,653,65.69 %
SEWICKLEY WARD 2 DIST 1,539,333,61.78 %
SEWICKLEY WARD 2 DIST 2,633,408,64.45 %
SEWICKLEY WARD 3,1076,644,59.85 %
SEWICKLEY HTS,783,485,61.94 %
SEWICKLEY HILLS,545,386,70.83 %
SHALER WARD 1 DIST 1,489,330,67.48 %
SHALER WARD 1 DIST 2,514,306,59.53 %
SHALER WARD 1 DIST 3,599,367,61.27 %
SHALER WARD 1 DIST 4,590,426,72.20 %
SHALER WARD 1 DIST 5,667,388,58.17 %
SHALER WARD 2 DIST 1,1060,740,69.81 %
SHALER WARD 2 DIST 2,762,521,68.37 %
SHALER WARD 2 DIST 3,599,360,60.10 %
SHALER WARD 2 DIST 4,752,513,68.22 %
SHALER WARD 2 DIST 5,367,237,64.58 %
SHALER WARD 3 DIST 1,599,417,69.62 %
SHALER WARD 3 DIST 2,595,393,66.05 %
SHALER WARD 3 DIST 3,588,406,69.05 %
SHALER WARD 3 DIST 4,719,517,71.91 %
SHALER WARD 3 DIST 5,688,488,70.93 %
SHALER WARD 4 DIST 1,847,590,69.66 %
SHALER WARD 4 DIST 2,464,280,60.34 %
SHALER WARD 4 DIST 3,682,489,71.70 %
SHALER WARD 4 DIST 4,653,444,67.99 %
SHALER WARD 4 DIST 5,514,335,65.18 %
SHALER WARD 5 DIST 1,727,512,70.43 %
SHALER WARD 5 DIST 2,684,483,70.61 %
SHALER WARD 5 DIST 3,545,397,72.84 %
SHALER WARD 5 DIST 4,357,252,70.59 %
SHALER WARD 5 DIST 5,762,499,65.49 %
SHALER WARD 6 DIST 1,635,446,70.24 %
SHALER WARD 6 DIST 2,686,486,70.85 %
SHALER WARD 6 DIST 3,559,371,66.37 %
SHALER WARD 6 DIST 4,334,248,74.25 %
SHALER WARD 6 DIST 5,544,397,72.98 %
SHALER WARD 7 DIST 1,610,404,66.23 %
SHALER WARD 7 DIST 2,812,539,66.38 %
SHALER WARD 7 DIST 3,658,388,58.97 %
SHALER WARD 7 DIST 4,1026,677,65.98 %
SHARPSBURG DIST 1,597,284,47.57 %
SHARPSBURG DIST 2,849,402,47.35 %
SHARPSBURG DIST 3,872,480,55.05 %
S FAYETTE DIST 1,577,417,72.27 %
S FAYETTE DIST 2,1091,703,64.44 %
S FAYETTE DIST 3,1592,1006,63.19 %
S FAYETTE DIST 4,868,544,62.67 %
S FAYETTE DIST 5,883,528,59.80 %
S FAYETTE DIST 6,1233,684,55.47 %
S FAYETTE DIST 7,633,388,61.30 %
S FAYETTE DIST 8,1531,1029,67.21 %
S FAYETTE DIST 9,642,325,50.62 %
S FAYETTE DIST 10,768,460,59.90 %
S FAYETTE DIST 11,978,596,60.94 %
S FAYETTE DIST 12,522,314,60.15 %
SOUTH PARK DIST 1,731,489,66.89 %
SOUTH PARK DIST 2,760,482,63.42 %
SOUTH PARK DIST 3,617,403,65.32 %
SOUTH PARK DIST 4,477,280,58.70 %
SOUTH PARK DIST 5,753,495,65.74 %
SOUTH PARK DIST 6,863,522,60.49 %
SOUTH PARK DIST 7,1112,690,62.05 %
SOUTH PARK DIST 8,523,370,70.75 %
SOUTH PARK DIST 9,825,503,60.97 %
SOUTH PARK DIST 10,861,526,61.09 %
SOUTH PARK DIST 11,596,329,55.20 %
SOUTH PARK DIST 12,570,352,61.75 %
SOUTH PARK DIST 13,1068,665,62.27 %
S VERSAILLES,213,134,62.91 %
SPRINGDAL BR DIST 1,708,392,55.37 %
SPRINGDAL BR DIST 2,595,382,64.20 %
SPRINGDAL BR DIST 3,541,308,56.93 %
SPRINGDAL BR DIST 4,441,265,60.09 %
SPRINGDALE TWP,1169,756,64.67 %
STOWE WARD 1,409,178,43.52 %
STOWE WARD 2 DIST 1,180,72,40.00 %
STOWE WARD 2 DIST 2,702,364,51.85 %
STOWE WARD 3,387,166,42.89 %
STOWE WARD 4 DIST 1,371,213,57.41 %
STOWE WARD 4 DIST 2,365,243,66.58 %
STOWE WARD 5,484,199,41.12 %
STOWE WARD 6,444,173,38.96 %
STOWE WARD 7,300,124,41.33 %
STOWE WARD 8,439,134,30.52 %
STOWE WARD 9,317,120,37.85 %
SWISSVALE DIST 1,935,447,47.81 %
SWISSVALE DIST 2,769,376,48.89 %
SWISSVALE DIST 3,683,356,52.12 %
SWISSVALE DIST 4,619,336,54.28 %
SWISSVALE DIST 5,749,436,58.21 %
SWISSVALE DIST 6,398,188,47.24 %
SWISSVALE DIST 7,664,415,62.50 %
SWISSVALE DIST 8,735,426,57.96 %
SWISSVALE DIST 9,669,419,62.63 %
SWISSVALE DIST 10,245,109,44.49 %
SWISSVALE DIST 11,698,507,72.64 %
TARENTUM WARD 1 DIST 1,694,317,45.68 %
TARENTUM WARD 1 DIST 2,485,276,56.91 %
TARENTUM WARD 2,531,225,42.37 %
TARENTUM WARD 3 DIST 1,303,133,43.89 %
TARENTUM WARD 3 DIST 2,595,262,44.03 %
THORNBURG,438,317,72.37 %
PENNSBURY VILL,588,359,61.05 %
TRAFFORD,55,27,49.09 %
TURTLE CREEK WD 1 DIST 1,860,450,52.33 %
TURTLE CREEK WD 1 DIST 2,416,218,52.40 %
TURTLE CREEK WD 2 DIST 1,693,290,41.85 %
TURTLE CREEK WD 2 DIST 2,320,122,38.13 %
TURTLE CREEK WD 3 DIST 1,603,238,39.47 %
TURTLE CREEK WD 3 DIST 2,474,240,50.63 %
UP ST CLAIR WARD 1 DIST 1,711,508,71.45 %
UP ST CLAIR WARD 1 DIST 2,847,593,70.01 %
UP ST CLAIR WARD 1 DIST 3,1050,719,68.48 %
UP ST CLAIR WARD 1 DIST 4,836,580,69.38 %
UP ST CLAIR WARD 2 DIST 1,988,648,65.59 %
UP ST CLAIR WARD 2 DIST 2,723,465,64.32 %
UP ST CLAIR WARD 2 DIST 3,1054,697,66.13 %
UP ST CLAIR WARD 2 DIST 4,553,362,65.46 %
UP ST CLAIR WARD 3 DIST 1,1055,692,65.59 %
UP ST CLAIR WARD 3 DIST 2,868,607,69.93 %
UP ST CLAIR WARD 3 DIST 3,1192,793,66.53 %
UP ST CLAIR WARD 4 DIST 1,989,677,68.45 %
UP ST CLAIR WARD 4 DIST 2,783,531,67.82 %
UP ST CLAIR WARD 4 DIST 3,612,441,72.06 %
UP ST CLAIR WARD 4 DIST 4,1073,675,62.91 %
UP ST CLAIR WARD 5 DIST 1,1332,897,67.34 %
UP ST CLAIR WARD 5 DIST 2,831,567,68.23 %
UP ST CLAIR WARD 5 DIST 3,884,602,68.10 %
VERONA DIST 1,508,255,50.20 %
VERONA DIST 2,599,341,56.93 %
VERONA DIST 3,595,338,56.81 %
VERSAILLES DIST 1,556,277,49.82 %
VERSAILLES DIST 2,483,208,43.06 %
WALL,320,129,40.31 %
WEST DEER DIST 1,1364,893,65.47 %
WEST DEER DIST 2,594,370,62.29 %
WEST DEER DIST 3,817,505,61.81 %
WEST DEER DIST 4,787,546,69.38 %
WEST DEER DIST 5,851,498,58.52 %
WEST DEER DIST 6,773,493,63.78 %
WEST DEER DIST 7,1748,1093,62.53 %
WEST DEER DIST 8,1451,975,67.20 %
W ELIZABETH,272,122,44.85 %
W HOMESTEAD DIST 1,504,196,38.89 %
W HOMESTEAD DIST 2,457,310,67.83 %
W HOMESTEAD DIST 3,525,340,64.76 %
WEST MIFFLIN DIST 1,720,369,51.25 %
WEST MIFFLIN DIST 2,486,266,54.73 %
WEST MIFFLIN DIST 3,480,267,55.63 %
WEST MIFFLIN DIST 4,433,81,18.71 %
WEST MIFFLIN DIST 5,876,553,63.13 %
WEST MIFFLIN DIST 6,317,175,55.21 %
WEST MIFFLIN DIST 7,746,436,58.45 %
WEST MIFFLIN DIST 8,567,305,53.79 %
WEST MIFFLIN DIST 9,799,452,56.57 %
WEST MIFFLIN DIST 10,528,310,58.71 %
WEST MIFFLIN DIST 11,781,407,52.11 %
WEST MIFFLIN DIST 12,1002,519,51.80 %
WEST MIFFLIN DIST 13,578,308,53.29 %
WEST MIFFLIN DIST 14,876,572,65.30 %
WEST MIFFLIN DIST 15,595,332,55.80 %
WEST MIFFLIN DIST 16,1209,767,63.44 %
WEST MIFFLIN DIST 17,570,329,57.72 %
WEST MIFFLIN DIST 18,788,469,59.52 %
WEST MIFFLIN DIST 19,646,413,63.93 %
WEST MIFFLIN DIST 20,478,332,69.46 %
WEST MIFFLIN DIST 21,667,384,57.57 %
WEST VIEW DIST 1,691,432,62.52 %
WEST VIEW DIST 2,760,435,57.24 %
WEST VIEW DIST 3,577,336,58.23 %
WEST VIEW DIST 4,598,388,64.88 %
WEST VIEW DIST 5,771,483,62.65 %
WEST VIEW DIST 6,704,451,64.06 %
WEST VIEW DIST 7,656,461,70.27 %
WHITAKER DIST 1,425,218,51.29 %
WHITAKER DIST 2,386,192,49.74 %
WHITEHALL DIST 1,531,359,67.61 %
WHITEHALL DIST 2,586,370,63.14 %
WHITEHALL DIST 3,675,464,68.74 %
WHITEHALL DIST 4,678,457,67.40 %
WHITEHALL DIST 5,686,444,64.72 %
WHITEHALL DIST 6,1057,371,35.10 %
WHITEHALL DIST 7,448,281,62.72 %
WHITEHALL DIST 8,797,548,68.76 %
WHITEHALL DIST 9,550,356,64.73 %
WHITEHALL DIST 10,608,400,65.79 %
WHITEHALL DIST 11,642,444,69.16 %
WHITEHALL DIST 12,559,365,65.30 %
WHITEHALL DIST 13,445,288,64.72 %
WHITEHALL DIST 14,597,392,65.66 %
WHITEHALL DIST 15,997,690,69.21 %
WHITEHALL DIST 16,615,422,68.62 %
WHITE OAK DIST 1,742,421,56.74 %
WHITE OAK DIST 2,808,432,53.47 %
WHITE OAK DIST 3,880,524,59.55 %
WHITE OAK DIST 4,749,508,67.82 %
WHITE OAK DIST 5,804,522,64.93 %
