County,Registered Voters,Ballots Cast,Voter Turnout
N FAYETTE DIST 3,2474,1315,53.15 %
N FAYETTE DIST 4,1093,495,45.29 %
N FAYETTE DIST 5,2551,1458,57.15 %
N VERSAILLES WD 1 DIST 1,662,345,52.11 %
N VERSAILLES WD 1 DIST 2,659,391,59.33 %
N VERSAILLES WD 2 DIST 1,640,372,58.13 %
N VERSAILLES WD 2 DIST 2,205,116,56.59 %
N VERSAILLES WD 3 DIST 1,511,311,60.86 %
N VERSAILLES WD 3 DIST 2,613,316,51.55 %
N VERSAILLES WD 4 DIST 1,495,258,52.12 %
N VERSAILLES WD 4 DIST 2,412,238,57.77 %
N VERSAILLES WD 5 DIST 1,548,208,37.96 %
N VERSAILLES WD 5 DIST 2,412,164,39.81 %
N VERSAILLES WD 6 DIST 1,649,406,62.56 %
N VERSAILLES WD 6 DIST 2,547,339,61.97 %
N VERSAILLES WARD 7,708,359,50.71 %
OAKDALE DIST 1,594,352,59.26 %
OAKDALE DIST 2,448,298,66.52 %
OAKMONT DIST 1,883,596,67.50 %
OAKMONT DIST 2,1063,687,64.63 %
OAKMONT DIST 3,768,481,62.63 %
OAKMONT DIST 4,893,584,65.40 %
OAKMONT DIST 5,739,468,63.33 %
OAKMONT DIST 6,1151,759,65.94 %
OHARA WARD 1 DIST 1,1095,681,62.19 %
OHARA WARD 1 DIST 2,660,395,59.85 %
OHARA WARD 2 DIST 1,600,421,70.17 %
OHARA WARD 2 DIST 2,932,568,60.94 %
OHARA WARD 3 DIST 1,676,456,67.46 %
OHARA WARD 3 DIST 2,599,372,62.10 %
OHARA WARD 4 DIST 1,568,375,66.02 %
OHARA WARD 4 DIST 2,772,601,77.85 %
OHARA WARD 5 DIST 1,753,524,69.59 %
OHARA WARD 5 DIST 2,882,604,68.48 %
OHIO DIST 1,1436,950,66.16 %
OHIO DIST 2,1666,1218,73.11 %
OHIO DIST 3,1972,1235,62.63 %
GLEN OSBORNE,453,314,69.32 %
PENN HILLS WARD 1 DIST 1,752,439,58.38 %
PENN HILLS WARD 1 DIST 2,742,443,59.70 %
PENN HILLS WARD 1 DIST 3,560,273,48.75 %
PENN HILLS WARD 1 DIST 4,340,168,49.41 %
PENN HILLS WARD 1 DIST 5,232,111,47.84 %
PENN HILLS WARD 2 DIST 1,780,411,52.69 %
PENN HILLS WARD 2 DIST 2,744,394,52.96 %
PENN HILLS WARD 2 DIST 3,873,498,57.04 %
PENN HILLS WARD 2 DIST 4,610,418,68.52 %
PENN HILLS WARD 3 DIST 1,783,456,58.24 %
PENN HILLS WARD 3 DIST 2,516,322,62.40 %
PENN HILLS WARD 3 DIST 3,657,380,57.84 %
PENN HILLS WARD 3 DIST 4,831,476,57.28 %
PENN HILLS WARD 3 DIST 5,465,210,45.16 %
PENN HILLS WARD 3 DIST 6,485,289,59.59 %
PENN HILLS WARD 4 DIST 1,574,345,60.10 %
PENN HILLS WARD 4 DIST 2,727,391,53.78 %
PENN HILLS WARD 4 DIST 3,753,436,57.90 %
PENN HILLS WARD 4 DIST 4,607,344,56.67 %
PENN HILLS WARD 4 DIST 5,605,345,57.02 %
PENN HILLS WARD 5 DIST 1,715,408,57.06 %
PENN HILLS WARD 5 DIST 2,635,319,50.24 %
PENN HILLS WARD 5 DIST 3,692,426,61.56 %
PENN HILLS WARD 5 DIST 4,634,404,63.72 %
PENN HILLS WARD 5 DIST 5,512,334,65.23 %
PENN HILLS WARD 5 DIST 6,737,381,51.70 %
PENN HILLS WARD 6 DIST 1,587,326,55.54 %
PENN HILLS WARD 6 DIST 2,648,368,56.79 %
PENN HILLS WARD 6 DIST 3,539,353,65.49 %
PENN HILLS WARD 6 DIST 4,604,311,51.49 %
PENN HILLS WARD 6 DIST 5,607,355,58.48 %
PENN HILLS WARD 6 DIST 6,588,342,58.16 %
PENN HILLS WARD 7 DIST 1,673,396,58.84 %
PENN HILLS WARD 7 DIST 2,649,336,51.77 %
PENN HILLS WARD 7 DIST 3,893,531,59.46 %
PENN HILLS WARD 7 DIST 4,624,384,61.54 %
PENN HILLS WARD 7 DIST 5,700,424,60.57 %
PENN HILLS WARD 7 DIST 6,746,411,55.09 %
PENN HILLS WARD 7 DIST 7,721,371,51.46 %
PENN HILLS WARD 8 DIST 1,638,394,61.76 %
PENN HILLS WARD 8 DIST 2,552,340,61.59 %
PENN HILLS WARD 8 DIST 3,527,338,64.14 %
PENN HILLS WARD 8 DIST 4,628,417,66.40 %
PENN HILLS WARD 8 DIST 5,937,538,57.42 %
PENN HILLS WARD 8 DIST 6,469,298,63.54 %
PENN HILLS WARD 9 DIST 1,510,354,69.41 %
PENN HILLS WARD 9 DIST 2,536,348,64.93 %
PENN HILLS WARD 9 DIST 3,814,507,62.29 %
PENN HILLS WARD 9 DIST 4,599,410,68.45 %
PENN HILLS WARD 9 DIST 5,325,172,52.92 %
PINE DIST 1,1273,792,62.22 %
PINE DIST 2,1840,1130,61.41 %
PINE DIST 3,455,303,66.59 %
PINE DIST 4,1291,860,66.62 %
PINE DIST 5,1804,1129,62.58 %
PINE DIST 6,658,455,69.15 %
PINE DIST 7,1467,902,61.49 %
PINE DIST 8,1126,715,63.50 %
PITCAIRN DIST 1,953,393,41.24 %
PITCAIRN DIST 2,514,181,35.21 %
PITCAIRN DIST 3,663,363,54.75 %
PITTSBURGH WARD 1 DIST 1,3903,933,23.90 %
PITTSBURGH WARD 1 DIST 2,682,256,37.54 %
PITTSBURGH WARD 2 DIST 1,2038,1031,50.59 %
PITTSBURGH WARD 2 DIST 2,1166,614,52.66 %
PITTSBURGH WARD 3 DIST 1,285,145,50.88 %
PITTSBURGH WARD 3 DIST 2,681,386,56.68 %
PITTSBURGH WARD 3 DIST 3,370,200,54.05 %
PITTSBURGH WARD 3 DIST 4,583,202,34.65 %
PITTSBURGH WARD 3 DIST 5,458,184,40.17 %
PITTSBURGH WARD 4 DIST 1,314,95,30.25 %
PITTSBURGH WARD 4 DIST 2,799,293,36.67 %
PITTSBURGH WARD 4 DIST 3,358,156,43.58 %
PITTSBURGH WARD 4 DIST 4,242,92,38.02 %
PITTSBURGH WARD 4 DIST 5,1188,386,32.49 %
PITTSBURGH WARD 4 DIST 6,973,386,39.67 %
PITTSBURGH WARD 4 DIST 7,3196,1171,36.64 %
PITTSBURGH WARD 4 DIST 8,4600,1129,24.54 %
PITTSBURGH WARD 4 DIST 9,807,418,51.80 %
PITTSBURGH WARD 4 DIST 10,619,222,35.86 %
PITTSBURGH WARD 4 DIST 11,594,382,64.31 %
PITTSBURGH WARD 4 DIST 12,698,300,42.98 %
PITTSBURGH WARD 4 DIST 13,925,315,34.05 %
PITTSBURGH WARD 4 DIST 14,1752,573,32.71 %
PITTSBURGH WARD 4 DIST 15,1073,364,33.92 %
PITTSBURGH WARD 4 DIST 16,1613,580,35.96 %
PITTSBURGH WARD 4 DIST 17,676,369,54.59 %
PITTSBURGH WARD 4 DIST 18,533,246,46.15 %
PITTSBURGH WARD 4 DIST 19,306,98,32.03 %
PITTSBURGH WARD 5 DIST 1,266,128,48.12 %
PITTSBURGH WARD 5 DIST 2,364,137,37.64 %
PITTSBURGH WARD 5 DIST 3,161,88,54.66 %
PITTSBURGH WARD 5 DIST 4,296,137,46.28 %
PITTSBURGH WARD 5 DIST 5,231,121,52.38 %
PITTSBURGH WARD 5 DIST 6,556,180,32.37 %
PITTSBURGH WARD 5 DIST 7,434,225,51.84 %
PITTSBURGH WARD 5 DIST 8,456,249,54.61 %
PITTSBURGH WARD 5 DIST 9,1132,438,38.69 %
PITTSBURGH WARD 5 DIST 10,459,241,52.51 %
PITTSBURGH WARD 5 DIST 11,401,178,44.39 %
PITTSBURGH WARD 5 DIST 12,413,196,47.46 %
PITTSBURGH WARD 5 DIST 13,267,124,46.44 %
PITTSBURGH WARD 5 DIST 14,282,120,42.55 %
PITTSBURGH WARD 5 DIST 15,265,104,39.25 %
PITTSBURGH WARD 5 DIST 16,212,59,27.83 %
PITTSBURGH WARD 5 DIST 17,258,118,45.74 %
PITTSBURGH WARD 5 DIST 18,49,20,40.82 %
PITTSBURGH WARD 6 DIST 1,996,565,56.73 %
PITTSBURGH WARD 6 DIST 2,666,352,52.85 %
PITTSBURGH WARD 6 DIST 3,829,452,54.52 %
PITTSBURGH WARD 6 DIST 4,592,362,61.15 %
PITTSBURGH WARD 6 DIST 5,490,307,62.65 %
PITTSBURGH WARD 7 DIST 1,688,309,44.91 %
PITTSBURGH WARD 7 DIST 2,1102,640,58.08 %
PITTSBURGH WARD 7 DIST 3,816,402,49.26 %
PITTSBURGH WARD 7 DIST 4,1170,520,44.44 %
PITTSBURGH WARD 7 DIST 5,792,381,48.11 %
PITTSBURGH WARD 7 DIST 6,733,377,51.43 %
PITTSBURGH WARD 7 DIST 7,785,322,41.02 %
PITTSBURGH WARD 7 DIST 8,775,322,41.55 %
PITTSBURGH WARD 7 DIST 9,846,444,52.48 %
PITTSBURGH WARD 7 DIST 10,1102,595,53.99 %
PITTSBURGH WARD 7 DIST 11,1209,640,52.94 %
PITTSBURGH WARD 7 DIST 12,1051,567,53.95 %
PITTSBURGH WARD 7 DIST 13,603,243,40.30 %
PITTSBURGH WARD 7 DIST 14,484,248,51.24 %
PITTSBURGH WARD 8 DIST 1,378,234,61.90 %
PITTSBURGH WARD 8 DIST 2,646,382,59.13 %
PITTSBURGH WARD 8 DIST 3,891,445,49.94 %
PITTSBURGH WARD 8 DIST 4,800,433,54.13 %
PITTSBURGH WARD 8 DIST 5,620,378,60.97 %
PITTSBURGH WARD 8 DIST 6,449,225,50.11 %
PITTSBURGH WARD 8 DIST 7,858,479,55.83 %
PITTSBURGH WARD 8 DIST 8,688,422,61.34 %
PITTSBURGH WARD 8 DIST 9,846,449,53.07 %
PITTSBURGH WARD 8 DIST 10,712,415,58.29 %
PITTSBURGH WARD 8 DIST 11,704,385,54.69 %
PITTSBURGH WARD 8 DIST 12,660,356,53.94 %
PITTSBURGH WARD 8 DIST 13,573,255,44.50 %
PITTSBURGH WARD 9 DIST 1,596,334,56.04 %
PITTSBURGH WARD 9 DIST 2,640,379,59.22 %
PITTSBURGH WARD 9 DIST 3,634,397,62.62 %
PITTSBURGH WARD 9 DIST 4,670,394,58.81 %
PITTSBURGH WARD 9 DIST 5,721,439,60.89 %
PITTSBURGH WARD 9 DIST 6,598,359,60.03 %
PITTSBURGH WARD 9 DIST 7,478,287,60.04 %
PITTSBURGH WARD 9 DIST 8,735,426,57.96 %
PITTSBURGH WARD 9 DIST 9,659,361,54.78 %
PITTSBURGH WARD 10 DIST 1,578,314,54.33 %
PITTSBURGH WARD 10 DIST 2,646,376,58.20 %
PITTSBURGH WARD 10 DIST 3,728,413,56.73 %
PITTSBURGH WARD 10 DIST 4,547,375,68.56 %
PITTSBURGH WARD 10 DIST 5,505,322,63.76 %
PITTSBURGH WARD 10 DIST 6,520,328,63.08 %
PITTSBURGH WARD 10 DIST 7,593,403,67.96 %
PITTSBURGH WARD 10 DIST 8,580,381,65.69 %
PITTSBURGH WARD 10 DIST 9,546,363,66.48 %
PITTSBURGH WRD 10 DIST 10,622,452,72.67 %
PITTSBURGH WRD 10 DIST 11,627,405,64.59 %
PITTSBURGH WRD 10 DIST 12,575,368,64.00 %
PITTSBURGH WRD 10 DIST 13,562,354,62.99 %
PITTSBURGH WRD 10 DIST 14,561,396,70.59 %
PITTSBURGH WRD 10 DIST 15,359,199,55.43 %
PITTSBURGH WRD 10 DIST 16,344,151,43.90 %
PITTSBURGH WRD 10 DIST 17,530,289,54.53 %
PITTSBURGH WRD 10 DIST 18,566,297,52.47 %
PITTSBURGH WRD 10 DIST 19,479,241,50.31 %
PITTSBURGH WARD 11 DIST 1,636,383,60.22 %
PITTSBURGH WARD 11 DIST 2,607,332,54.70 %
PITTSBURGH WARD 11 DIST 3,479,244,50.94 %
PITTSBURGH WARD 11 DIST 4,567,276,48.68 %
PITTSBURGH WARD 11 DIST 5,574,289,50.35 %
PITTSBURGH WARD 11 DIST 6,911,523,57.41 %
PITTSBURGH WARD 11 DIST 7,687,445,64.77 %
PITTSBURGH WARD 11 DIST 8,645,396,61.40 %
PITTSBURGH WARD 11 DIST 9,663,438,66.06 %
PITTSBURGH WRD 11 DIST 10,592,438,73.99 %
PITTSBURGH WRD 11 DIST 11,708,429,60.59 %
PITTSBURGH WRD 11 DIST 12,714,465,65.13 %
PITTSBURGH WRD 11 DIST 13,705,476,67.52 %
PITTSBURGH WRD 11 DIST 14,603,307,50.91 %
PITTSBURGH WRD 11 DIST 15,263,97,36.88 %
PITTSBURGH WRD 11 DIST 16,628,324,51.59 %
PITTSBURGH WRD 11 DIST 17,732,380,51.91 %
PITTSBURGH WRD 11 DIST 18,560,282,50.36 %
PITTSBURGH WARD 12 DIST 1,245,81,33.06 %
PITTSBURGH WARD 12 DIST 2,317,145,45.74 %
PITTSBURGH WARD 12 DIST 3,174,85,48.85 %
PITTSBURGH WARD 12 DIST 4,330,167,50.61 %
PITTSBURGH WARD 12 DIST 5,167,61,36.53 %
PITTSBURGH WARD 12 DIST 6,243,103,42.39 %
PITTSBURGH WARD 12 DIST 7,310,133,42.90 %
PITTSBURGH WARD 12 DIST 8,215,97,45.12 %
PITTSBURGH WARD 12 DIST 9,330,139,42.12 %
PITTSBURGH WRD 12 DIST 10,458,222,48.47 %
PITTSBURGH WRD 12 DIST 11,471,228,48.41 %
