County,Registered Voters,Election Day,Absentee,Provisional,Ballots Cast,Voter Turnout
Wilkinsburg Ward 2 Dist 2,999,379,218,1,598,59.86 %
Wilkinsburg Ward 2 Dist 3,754,177,89,4,270,35.81 %
Wilkinsburg Ward 2 Dist 4,527,125,40,5,170,32.26 %
Wilkinsburg Ward 2 Dist 5,813,222,117,7,346,42.56 %
Wilkinsburg Ward 3 Dist 1,755,360,169,5,534,70.73 %
Wilkinsburg Ward 3 Dist 2,698,318,117,10,445,63.75 %
Wilkinsburg Ward 3 Dist 3,817,220,74,13,307,37.58 %
Wilkinsburg Ward 3 Dist 4,1054,379,189,13,581,55.12 %
Wilkinsburg Ward 3 Dist 5,1023,318,147,8,473,46.24 %
Wilkinsburg Ward 3 Dist 6,525,153,42,6,201,38.29 %
Wilmerding Dist 1,481,102,48,2,152,31.60 %
Wilmerding Dist 2,674,225,76,7,308,45.70 %
Total:,939390,408702,161580,7192,577474,61.47 %
