County,Registered Voters,Election Day,Absentee,Provisional,Ballots Cast,Voter Turnout
ALEPPO,1388,523,582,16,1121,80.76 %
ASPINWALL DIST 1,861,397,310,18,725,84.20 %
ASPINWALL DIST 2,572,257,207,12,476,83.22 %
ASPINWALL DIST 3,856,361,335,11,707,82.59 %
AVALON WARD 1,1108,457,341,33,831,75.00 %
AVALON WARD 2 DIST 1,717,307,250,17,574,80.06 %
AVALON WARD 2 DIST 2,487,178,203,4,385,79.06 %
AVALON WARD 3 DIST 1,320,140,119,0,259,80.94 %
AVALON WARD 3 DIST 2,454,175,172,5,352,77.53 %
AVALON WARD 3 DIST 3,507,159,221,6,386,76.13 %
BALDWIN BR DIST 1,626,288,204,24,516,82.43 %
BALDWIN BR DIST 2,1024,466,401,23,890,86.91 %
BALDWIN BR DIST 3,838,369,293,23,685,81.74 %
BALDWIN BR DIST 4,782,396,243,17,656,83.89 %
BALDWIN BR DIST 5,824,359,301,17,677,82.16 %
BALDWIN BR DIST 6,764,350,282,0,632,82.72 %
BALDWIN BR DIST 7,820,349,321,11,681,83.05 %
BALDWIN BR DIST 8,715,318,296,6,620,86.71 %
BALDWIN BR DIST 9,769,286,348,25,659,85.70 %
BALDWIN BR DIST 10,1067,304,335,13,652,61.11 %
BALDWIN BR DIST 11,1294,397,468,9,874,67.54 %
BALDWIN BR DIST 12,634,296,221,12,529,83.44 %
BALDWIN BR DIST 13,688,334,279,6,619,89.97 %
BALDWIN BR DIST 14,613,282,228,20,530,86.46 %
BALDWIN BR DIST 15,798,355,317,3,675,84.59 %
BALDWIN BR DIST 16,914,432,320,9,761,83.26 %
BALDWIN BR DIST 17,677,282,298,9,589,87.00 %
BALDWIN BR DIST 18,938,331,429,12,772,82.30 %
BALDWIN TP DIST 1,806,452,243,7,702,87.10 %
BALDWIN TP DIST 2,757,360,254,13,627,82.83 %
BELL ACRES,1205,617,379,21,1017,84.40 %
BELLEVUE WARD 1 DIST 1,970,340,345,18,703,72.47 %
BELLEVUE WARD 1 DIST 2,987,378,352,14,744,75.38 %
BELLEVUE WARD 2 DIST 1,1146,423,383,16,822,71.73 %
BELLEVUE WARD 2 DIST 2,1010,401,337,20,758,75.05 %
BELLEVUE WARD 3 DIST 1,1040,404,361,11,776,74.62 %
BELLEVUE WARD 3 DIST 2,1019,433,345,18,796,78.12 %
BEN AVON DIST 1,479,252,161,4,417,87.06 %
BEN AVON DIST 2,986,458,366,22,846,85.80 %
BEN AVON HT,337,205,91,5,301,89.32 %
BETHEL PARK WARD 1 DIST 1,883,397,333,12,742,84.03 %
BETHEL PARK WARD 1 DIST 2,783,369,299,8,676,86.33 %
BETHEL PARK WARD 1 DIST 3,848,381,334,12,727,85.73 %
BETHEL PARK WARD 2 DIST 1,743,347,283,12,642,86.41 %
BETHEL PARK WARD 2 DIST 2,950,428,378,16,822,86.53 %
BETHEL PARK WARD 2 DIST 3,1121,485,440,14,939,83.76 %
BETHEL PARK WARD 3 DIST 1,809,394,298,17,709,87.64 %
BETHEL PARK WARD 3 DIST 2,1100,465,484,11,960,87.27 %
BETHEL PARK WARD 3 DIST 3,1094,455,503,22,980,89.58 %
BETHEL PARK WARD 4 DIST 1,1328,588,529,19,1136,85.54 %
BETHEL PARK WARD 4 DIST 2,800,303,347,12,662,82.75 %
BETHEL PARK WARD 4 DIST 3,910,396,358,11,765,84.07 %
BETHEL PARK WARD 5 DIST 1,714,319,275,18,612,85.71 %
BETHEL PARK WARD 5 DIST 2,679,313,217,10,540,79.53 %
BETHEL PARK WARD 5 DIST 3,1499,500,696,30,1226,81.79 %
BETHEL PARK WARD 6 DIST 1,1320,598,488,20,1106,83.79 %
BETHEL PARK WARD 6 DIST 2,960,440,395,9,844,87.92 %
BETHEL PARK WARD 6 DIST 3,879,342,400,20,762,86.69 %
BETHEL PARK WARD 7 DIST 1,1214,581,471,14,1066,87.81 %
BETHEL PARK WARD 7 DIST 2,1269,533,518,18,1069,84.24 %
BETHEL PARK WARD 7 DIST 3,775,350,313,15,678,87.48 %
BETHEL PARK WARD 8 DIST 1,562,263,220,1,484,86.12 %
BETHEL PARK WARD 8 DIST 2,497,105,236,6,347,69.82 %
BETHEL PARK WARD 8 DIST 3,1274,569,511,20,1100,86.34 %
BETHEL PARK WARD 8 DIST 4,461,223,177,4,404,87.64 %
BETHEL PARK WARD 9 DIST 1,589,277,237,7,521,88.46 %
BETHEL PARK WARD 9 DIST 2,736,310,290,11,611,83.02 %
BETHEL PARK WARD 9 DIST 3,1414,587,634,24,1245,88.05 %
BLAWNOX,1042,455,307,25,787,75.53 %
BRACKENRIDGE WARD 1,507,244,94,9,347,68.44 %
BRACKENRIDGE WARD 2,782,406,187,11,604,77.24 %
