County,Registered Voters,Election Day,Absentee,Provisional,Ballots Cast,Voter Turnout
BRACKENRIDGE WARD 3,662,329,149,10,488,73.72 %
BRADDOCK WARD 1,490,148,125,14,287,58.57 %
BRADDOCK WARD 2,614,192,167,8,367,59.77 %
BRADDOCK WARD 3,453,139,81,1,221,48.79 %
BRADDOCK HL DIST 1,810,267,282,11,560,69.14 %
BRADDOCK HL DIST 2,543,224,191,26,441,81.22 %
BRADFORD WOODS,1018,456,405,0,861,84.58 %
BRENTWOOD DIST 1,539,249,204,7,460,85.34 %
BRENTWOOD DIST 2,744,330,239,7,576,77.42 %
BRENTWOOD DIST 3,613,273,194,20,487,79.45 %
BRENTWOOD DIST 4,820,380,270,15,665,81.10 %
BRENTWOOD DIST 5,733,287,230,11,528,72.03 %
BRENTWOOD DIST 6,694,252,230,5,487,70.17 %
BRENTWOOD DIST 7,763,338,252,16,606,79.42 %
BRENTWOOD DIST 8,728,265,333,14,612,84.07 %
BRENTWOOD DIST 9,607,253,218,10,481,79.24 %
BRENTWOOD DIST 10,558,255,191,12,458,82.08 %
BRIDGEVILLE DIST 1,830,408,216,27,651,78.43 %
BRIDGEVILLE DIST 2,857,410,235,8,653,76.20 %
BRIDGEVILLE DIST 3,877,421,286,28,735,83.81 %
BRIDGEVILLE DIST 4,1010,478,328,25,831,82.28 %
CARNEGIE WARD 1 DIST 1,547,248,143,16,407,74.41 %
CARNEGIE WARD 1 DIST 2,1225,519,416,25,960,78.37 %
CARNEGIE WARD 1 DIST 3,887,404,300,16,720,81.17 %
CARNEGIE WARD 1 DIST 4,388,138,116,10,264,68.04 %
CARNEGIE WARD 2 DIST 1,672,295,179,21,495,73.66 %
CARNEGIE WARD 2 DIST 2,506,209,173,13,395,78.06 %
CARNEGIE WARD 2 DIST 3,511,204,229,8,441,86.30 %
CARNEGIE WARD 2 DIST 4,904,324,267,12,603,66.70 %
CASL SHANNON DIST 1,1072,369,393,6,768,71.64 %
CASL SHANNON DIST 2,846,388,269,16,673,79.55 %
CASL SHANNON DIST 3,844,374,303,17,694,82.23 %
CASL SHANNON DIST 4,648,260,251,7,518,79.94 %
CASL SHANNON DIST 5,732,334,266,17,617,84.29 %
CASL SHANNON DIST 6,661,295,249,16,560,84.72 %
CASL SHANNON DIST 7,771,365,265,10,640,83.01 %
CASL SHANNON DIST 8,569,257,218,14,489,85.94 %
CHALFANT DIST 1,588,259,178,17,454,77.21 %
CHESWICK DIST 1,648,353,196,11,560,86.42 %
CHESWICK DIST 2,669,368,209,7,584,87.29 %
CHURCHILL DIST 1,712,270,360,14,644,90.45 %
CHURCHILL DIST 2,741,267,334,4,605,81.65 %
CHURCHILL DIST 3,656,261,316,10,587,89.48 %
CHURCHILL DIST 4,704,257,326,9,592,84.09 %
CLAIRTON WARD 1 DIST 1,398,141,92,12,245,61.56 %
CLAIRTON WARD 1 DIST 2,401,162,118,10,290,72.32 %
CLAIRTON WARD 1 DIST 3,336,142,83,6,231,68.75 %
CLAIRTON WARD 2 DIST 1,113,42,26,0,68,60.18 %
CLAIRTON WARD 2 DIST 2,298,90,87,8,185,62.08 %
CLAIRTON WARD 2 DIST 3,437,151,103,2,256,58.58 %
CLAIRTON WARD 3 DIST 1,443,172,133,5,310,69.98 %
CLAIRTON WARD 3 DIST 2,365,141,93,6,240,65.75 %
CLAIRTON WARD 3 DIST 3,400,127,86,15,228,57.00 %
CLAIRTON WARD 4 DIST 1,373,107,111,10,228,61.13 %
CLAIRTON WARD 4 DIST 2,355,130,81,3,214,60.28 %
CLAIRTON WARD 4 DIST 3,451,194,125,10,329,72.95 %
COLLIER DIST 1,1318,630,490,22,1142,86.65 %
COLLIER DIST 2,1353,748,407,28,1183,87.44 %
COLLIER DIST 3,1303,525,550,13,1088,83.50 %
COLLIER DIST 4,775,324,299,23,646,83.35 %
COLLIER DIST 5,987,449,370,17,836,84.70 %
COLLIER DIST 6,1146,516,408,32,956,83.42 %
CORAOPOLIS WARD 1 DIST 1,437,212,109,8,329,75.29 %
CORAOPOLIS WARD 1 DIST 2,513,226,161,3,390,76.02 %
CORAOPOLIS WARD 2,832,288,263,14,565,67.91 %
CORAOPOLIS WARD 3 DIST 1,588,273,178,5,456,77.55 %
CORAOPOLIS WARD 3 DIST 2,578,274,164,15,453,78.37 %
CORAOPOLIS WARD 4 DIST 1,456,216,131,7,354,77.63 %
CORAOPOLIS WARD 4 DIST 2,538,249,175,8,432,80.30 %
CRAFTON WARD 1 DIST 1,932,387,319,6,712,76.39 %
CRAFTON WARD 1 DIST 2,661,296,208,17,521,78.82 %
CRAFTON WARD 2 DIST 1,621,281,220,14,515,82.93 %
CRAFTON WARD 2 DIST 2,808,317,280,13,610,75.50 %
CRAFTON WARD 3 DIST 1,994,477,331,11,819,82.39 %
CRAFTON WARD 3 DIST 2,625,313,192,6,511,81.76 %
CRESCENT WARD 1,1101,561,295,38,894,81.20 %
CRESCENT WARD 2,685,361,173,5,539,78.69 %
DORMONT DIST 1,718,277,269,17,563,78.41 %
DORMONT DIST 2,535,216,241,9,466,87.10 %
DORMONT DIST 3,941,312,385,22,719,76.41 %
DORMONT DIST 4,673,259,285,16,560,83.21 %
DORMONT DIST 5,1098,373,461,15,849,77.32 %
DORMONT DIST 6,534,221,211,6,438,82.02 %
DORMONT DIST 7,527,193,234,10,437,82.92 %
DORMONT DIST 8,424,165,182,4,351,82.78 %
DORMONT DIST 9,548,213,217,17,447,81.57 %
DORMONT DIST 10,639,264,274,6,544,85.13 %
DRAVOSBURG DIST 1,541,223,156,27,406,75.05 %
DRAVOSBURG DIST 2,341,170,103,6,279,81.82 %
DRAVOSBURG DIST 3,266,129,78,5,212,79.70 %
DUQUESNE WARD 1 DIST 1,446,182,133,15,330,73.99 %
DUQUESNE WARD 1 DIST 2,530,161,105,4,270,50.94 %
DUQUESNE WARD 1 DIST 3,322,88,58,11,157,48.76 %
DUQUESNE WARD 1 DIST 4,209,54,42,2,98,46.89 %
DUQUESNE WARD 2 DIST 1,348,111,80,9,200,57.47 %
DUQUESNE WARD 2 DIST 2,377,134,80,12,226,59.95 %
DUQUESNE WARD 2 DIST 3,431,170,87,11,268,62.18 %
DUQUESNE WARD 3 DIST 1,236,86,50,9,145,61.44 %
DUQUESNE WARD 3 DIST 2,171,61,37,3,101,59.06 %
DUQUESNE WARD 3 DIST 3,556,203,147,8,358,64.39 %
EAST DEER WARD 1,332,178,76,14,268,80.72 %
EAST DEER WARD 2,574,296,146,12,454,79.09 %
E MCKEESPORT DIST 1,411,184,119,13,316,76.89 %
E MCKEESPORT DIST 2,524,261,131,16,408,77.86 %
E MCKEESPORT DIST 3,482,238,102,20,360,74.69 %
E PITTSBURGH WARD 1,356,138,75,7,220,61.80 %
E PITTSBURGH WARD 2,405,177,56,9,242,59.75 %
E PITTSBURGH WARD 3,530,153,114,21,288,54.34 %
EDGEWOOD DIST 1,1030,304,527,10,841,81.65 %
EDGEWOOD DIST 2,965,290,510,7,807,83.63 %
EDGEWOOD DIST 3,894,200,527,3,730,81.66 %
EDGEWORTH DIST 1,695,299,241,10,550,79.14 %
EDGEWORTH DIST 2,763,352,290,14,656,85.98 %
ELIZABETH BR,894,459,208,16,683,76.40 %
ELIZABETH TP WARD 1 DIST 1,562,286,179,6,471,83.81 %
ELIZABETH TP WARD 1 DIST 2,945,500,286,26,812,85.93 %
ELIZABETH TP WARD 2,1304,669,408,23,1100,84.36 %
ELIZABETH TP WARD 3,1360,711,444,3,1158,85.15 %
ELIZABETH TP WARD 4 DIST 1,926,434,313,18,765,82.61 %
ELIZABETH TP WARD 4 DIST 2,463,222,161,6,389,84.02 %
ELIZABETH TP WARD 5 DIST 1,463,236,121,10,367,79.27 %
ELIZABETH TP WARD 5 DIST 2,818,404,229,11,644,78.73 %
ELIZABETH TP WARD 6 DIST 1,606,332,179,9,520,85.81 %
ELIZABETH TP WARD 6 DIST 2,731,408,184,9,601,82.22 %
ELIZABETH TP WARD 7,1293,653,435,13,1101,85.15 %
EMSWORTH DIST 1,807,451,209,19,679,84.14 %
EMSWORTH DIST 2,1009,455,331,25,811,80.38 %
ETNA WARD 1,840,378,255,14,647,77.02 %
ETNA WARD 2,714,297,212,18,527,73.81 %
ETNA WARD 3,729,396,192,12,600,82.30 %
FAWN DIST 1,574,365,114,13,492,85.71 %
FAWN DIST 2,936,555,225,12,792,84.62 %
FINDLAY DIST 1,1566,850,432,22,1304,83.27 %
FINDLAY DIST 2,1830,892,563,43,1498,81.86 %
FINDLAY DIST 3,1207,652,353,18,1023,84.76 %
FOREST HILLS DIST 1,621,210,340,1,551,88.73 %
FOREST HILLS DIST 2,649,241,323,4,568,87.52 %
FOREST HILLS DIST 3,647,246,297,9,552,85.32 %
FOREST HILLS DIST 4,708,273,268,13,554,78.25 %
FOREST HILLS DIST 5,730,292,307,12,611,83.70 %
FOREST HILLS DIST 6,607,202,305,9,516,85.01 %
FOREST HILLS DIST 7,800,309,262,22,593,74.13 %
FOREST HILLS DIST 8,743,278,327,15,620,83.45 %
FORWARD DIST 1,367,238,67,4,309,84.20 %
FORWARD DIST 2,834,430,216,8,654,78.42 %
FORWARD DIST 3,401,234,104,5,343,85.54 %
FORWARD DIST 4,479,288,109,4,401,83.72 %
FOX CHAPEL DIST 1,861,394,328,12,734,85.25 %
FOX CHAPEL DIST 2,1035,428,424,11,863,83.38 %
FOX CHAPEL DIST 3,737,310,296,10,616,83.58 %
FOX CHAPEL DIST 4,1224,442,579,1,1022,83.50 %
FOX CHAPEL DIST 5,949,382,388,13,783,82.51 %
FRANKLIN PK WARD 1 DIST 1,1209,551,461,12,1024,84.70 %
FRANKLIN PK WARD 1 DIST 2,1456,574,675,8,1257,86.33 %
FRANKLIN PK WARD 1 DIST 3,1338,526,625,2,1153,86.17 %
FRANKLIN PK WARD 2 DIST 1,1236,491,579,20,1090,88.19 %
FRANKLIN PK WARD 2 DIST 2,1274,472,589,26,1087,85.32 %
FRANKLIN PK WARD 2 DIST 3,1417,594,654,12,1260,88.92 %
FRANKLIN PK WARD 3 DIST 1,1307,485,628,19,1132,86.61 %
FRANKLIN PK WARD 3 DIST 2,806,352,340,2,694,86.10 %
FRANKLIN PK WARD 3 DIST 3,1276,506,595,11,1112,87.15 %
FRAZER,804,496,175,0,671,83.46 %
GLASSPORT DIST 1,576,274,151,12,437,75.87 %
GLASSPORT DIST 2,397,150,84,6,240,60.45 %
GLASSPORT DIST 3,539,200,149,16,365,67.72 %
GLASSPORT DIST 4,244,100,40,6,146,59.84 %
GLASSPORT DIST 5,485,239,134,1,374,77.11 %
GLASSPORT DIST 6,446,198,106,14,318,71.30 %
GLENFIELD,157,76,38,8,122,77.71 %
GREEN TREE DIST 1,811,407,292,14,713,87.92 %
GREEN TREE DIST 2,1084,506,409,16,931,85.89 %
GREEN TREE DIST 3,1031,483,362,11,856,83.03 %
GREEN TREE DIST 4,882,392,326,11,729,82.65 %
HAMPTON DIST 1,1206,569,477,15,1061,87.98 %
HAMPTON DIST 2,1258,615,456,23,1094,86.96 %
HAMPTON DIST 3,1365,573,570,17,1160,84.98 %
HAMPTON DIST 4,656,310,239,21,570,86.89 %
HAMPTON DIST 5,726,328,281,13,622,85.67 %
HAMPTON DIST 6,654,252,267,10,529,80.89 %
HAMPTON DIST 7,1382,625,527,35,1187,85.89 %
HAMPTON DIST 8,975,438,386,23,847,86.87 %
HAMPTON DIST 9,1362,685,481,27,1193,87.59 %
HAMPTON DIST 10,1561,600,695,18,1313,84.11 %
HAMPTON DIST 11,1725,860,654,24,1538,89.16 %
HAMPTON DIST 12,905,421,350,16,787,86.96 %
HAMPTON DIST 13,780,338,316,19,673,86.28 %
HARMAR DIST 1,1313,514,530,23,1067,81.26 %
HARMAR DIST 2,724,339,192,16,547,75.55 %
HARMAR DIST 3,365,178,105,10,293,80.27 %
HARRISON WARD 1 DIST 1,287,164,90,2,256,89.20 %
HARRISON WARD 1 DIST 2,606,291,215,10,516,85.15 %
HARRISON WARD 1 DIST 3,684,374,176,9,559,81.73 %
HARRISON WARD 2 DIST 1,325,163,98,3,264,81.23 %
HARRISON WARD 2 DIST 2,571,253,100,28,381,66.73 %
HARRISON WARD 3 DIST 1,1070,536,368,14,918,85.79 %
HARRISON WARD 3 DIST 2,633,358,168,2,528,83.41 %
HARRISON WARD 4 DIST 1,709,393,183,12,588,82.93 %
HARRISON WARD 4 DIST 2,595,300,168,0,468,78.66 %
HARRISON WARD 5 DIST 1,503,197,141,1,339,67.40 %
HARRISON WARD 5 DIST 2,796,439,205,13,657,82.54 %
HAYSVILLE,67,40,15,1,56,83.58 %
HEIDELBERG,937,546,202,13,761,81.22 %
HOMESTEAD WARD 1 DIST 1,560,172,192,2,366,65.36 %
HOMESTEAD WARD 1 DIST 2,344,128,89,10,227,65.99 %
HOMESTEAD WARD 2 DIST 1,402,151,104,11,266,66.17 %
HOMESTEAD WARD 2 DIST 2,310,134,68,3,205,66.13 %
HOMESTEAD WARD 3 DIST 1,475,170,89,15,274,57.68 %
HOMESTEAD WARD 3 DIST 2,281,89,54,19,162,57.65 %
INDIANA DIST 1,1001,470,339,12,821,82.02 %
INDIANA DIST 2,887,438,292,19,749,84.44 %
INDIANA DIST 3,1385,607,475,24,1106,79.86 %
INDIANA DIST 4,1148,525,425,22,972,84.67 %
INDIANA DIST 5,933,427,363,24,814,87.25 %
INGRAM DIST 1,834,389,260,11,660,79.14 %
INGRAM DIST 2,648,298,198,13,509,78.55 %
INGRAM DIST 3,946,472,286,26,784,82.88 %
JEFFERSON HL DIST 1,1763,856,631,45,1532,86.90 %
JEFFERSON HL DIST 2,831,458,210,18,686,82.55 %
JEFFERSON HL DIST 3,698,318,265,15,598,85.67 %
JEFFERSON HL DIST 4,676,282,234,0,516,76.33 %
JEFFERSON HL DIST 5,2082,865,824,23,1712,82.23 %
JEFFERSON HL DIST 6,1012,655,199,17,871,86.07 %
JEFFERSON HL DIST 7,387,220,115,4,339,87.60 %
JEFFERSON HL DIST 8,1328,645,515,17,1177,88.63 %
KENNEDY DIST 1,1546,692,593,3,1288,83.31 %
KENNEDY DIST 2,911,387,319,16,722,79.25 %
KENNEDY DIST 3,991,461,366,14,841,84.86 %
KENNEDY DIST 4,447,207,165,8,380,85.01 %
KENNEDY DIST 5,1390,665,481,34,1180,84.89 %
KENNEDY DIST 6,930,420,337,12,769,82.69 %
KENNEDY DIST 7,569,279,191,1,471,82.78 %
KILBUCK,620,334,204,16,554,89.35 %
LEET DIST 1,417,265,86,5,356,85.37 %
LEET DIST 2,806,378,303,13,694,86.10 %
LEETSDALE,877,426,210,29,665,75.83 %
LIBERTY DIST 1,892,525,200,9,734,82.29 %
LIBERTY DIST 2,804,469,181,14,664,82.59 %
LINCOLN,698,450,139,11,600,85.96 %
MARSHALL DIST 1,954,342,432,15,789,82.70 %
MARSHALL DIST 2,1136,534,412,14,960,84.51 %
MARSHALL DIST 3,831,332,357,15,704,84.72 %
MARSHALL DIST 4,1194,467,553,15,1035,86.68 %
MARSHALL DIST 5,908,313,461,11,785,86.45 %
MARSHALL DIST 6,1021,444,425,7,876,85.80 %
MARSHALL DIST 7,1296,510,532,18,1060,81.79 %
MCCANDLESS WARD 1 DIST 1,1148,438,522,22,982,85.54 %
MCCANDLESS WARD 1 DIST 2,805,243,354,10,607,75.40 %
MCCANDLESS WARD 1 DIST 3,1288,486,510,15,1011,78.49 %
MCCANDLESS WARD 2 DIST 1,1422,474,698,18,1190,83.68 %
MCCANDLESS WARD 2 DIST 2,888,374,395,11,780,87.84 %
MCCANDLESS WARD 2 DIST 3,890,359,394,6,759,85.28 %
MCCANDLESS WARD 3 DIST 1,970,380,418,13,811,83.61 %
MCCANDLESS WARD 3 DIST 2,1098,480,441,15,936,85.25 %
MCCANDLESS WARD 3 DIST 3,1127,502,480,12,994,88.20 %
MCCANDLESS WARD 4 DIST 1,1532,615,704,17,1336,87.21 %
MCCANDLESS WARD 4 DIST 2,958,402,395,14,811,84.66 %
MCCANDLESS WARD 4 DIST 3,746,316,353,6,675,90.48 %
MCCANDLESS WARD 5 DIST 1,858,390,338,4,732,85.31 %
MCCANDLESS WARD 5 DIST 2,1414,534,567,20,1121,79.28 %
MCCANDLESS WARD 5 DIST 3,1007,372,469,12,853,84.71 %
MCCANDLESS WARD 6 DIST 1,488,201,223,1,425,87.09 %
MCCANDLESS WARD 6 DIST 2,1057,404,518,12,934,88.36 %
MCCANDLESS WARD 6 DIST 3,1918,589,986,24,1599,83.37 %
MCCANDLESS WARD 7 DIST 1,1667,587,739,14,1340,80.38 %
MCCANDLESS WARD 7 DIST 2,1018,375,492,8,875,85.95 %
MCCANDLESS WARD 7 DIST 3,529,197,257,8,462,87.33 %
MCDONALD,229,134,45,3,182,79.48 %
MCKEESPORT WARD 1,9,3,1,0,4,44.44 %
MCKEESPORT WARD 2,245,46,30,3,79,32.24 %
MCKEESPORT WARD 3 DIST 1,299,80,60,1,141,47.16 %
MCKEESPORT WARD 3 DIST 2,118,29,40,2,71,60.17 %
MCKEESPORT WARD 4,309,77,56,9,142,45.95 %
MCKEESPORT WARD 5,472,105,115,4,224,47.46 %
MCKEESPORT WARD 6 DIST 1,349,82,75,2,159,45.56 %
MCKEESPORT WARD 6 DIST 2,291,77,51,7,135,46.39 %
MCKEESPORT WARD 7 DIST 1,469,156,140,5,301,64.18 %
MCKEESPORT WARD 7 DIST 2,275,77,86,3,166,60.36 %
MCKEESPORT WARD 7 DIST 3,338,116,78,7,201,59.47 %
MCKEESPORT WARD 7 DIST 4,425,154,86,3,243,57.18 %
MCKEESPORT WARD 7 DIST 5,536,209,126,2,337,62.87 %
MCKEESPORT WARD 7 DIST 6,479,173,104,5,282,58.87 %
MCKEESPORT WARD 7 DIST 7,357,94,85,13,192,53.78 %
MCKEESPORT WARD 8 DIST 1,280,110,75,4,189,67.50 %
MCKEESPORT WARD 8 DIST 2,511,187,153,6,346,67.71 %
MCKEESPORT WARD 8 DIST 3,561,165,149,16,330,58.82 %
MCKEESPORT WARD 8 DIST 4,464,202,114,9,325,70.04 %
MCKEESPORT WARD 8 DIST 5,544,162,84,10,256,47.06 %
MCKEESPORT WARD 8 DIST 6,218,97,55,11,163,74.77 %
MCKEESPORT WARD 9 DIST 1,448,183,122,2,307,68.53 %
MCKEESPORT WARD 9 DIST 2,579,255,123,9,387,66.84 %
MCKEESPORT WARD 9 DIST 3,418,175,99,11,285,68.18 %
MCKEESPORT WARD 10 DIST 1,322,109,65,5,179,55.59 %
MCKEESPORT WARD 10 DIST 2,329,123,102,10,235,71.43 %
MCKEESPORT WARD 11 DIST 1,423,189,109,6,304,71.87 %
MCKEESPORT WARD 11 DIST 2,388,169,110,2,281,72.42 %
MCKEESPORT WARD 11 DIST 3,270,103,105,0,208,77.04 %
MCKEESPORT WARD 12 DIST 1,317,163,72,0,235,74.13 %
MCKEESPORT WARD 12 DIST 2,375,191,101,11,303,80.80 %
MCKEESPORT WARD 12 DIST 3,559,279,196,9,484,86.58 %
MCKEES ROCKS WARD 1 DIST 1,240,54,11,4,69,28.75 %
MCKEES ROCKS WARD 1 DIST 2,555,186,131,16,333,60.00 %
MCKEES ROCKS WARD 2 DIST 1,664,240,120,18,378,56.93 %
MCKEES ROCKS WARD 2 DIST 2,566,194,99,17,310,54.77 %
MCKEES ROCKS WARD 3 DIST 1,720,248,227,14,489,67.92 %
MCKEES ROCKS WARD 3 DIST 2,556,195,117,5,317,57.01 %
MCKEES ROCKS WARD 3 DIST 3,528,181,141,14,336,63.64 %
MILLVALE DIST 1,510,228,126,7,361,70.78 %
MILLVALE DIST 2,470,212,106,5,323,68.72 %
MILLVALE DIST 3,453,174,143,3,320,70.64 %
MILLVALE DIST 4,453,211,113,7,331,73.07 %
MILLVALE DIST 5,517,230,165,6,401,77.56 %
MONROEVILLE WARD 1 DIST 1,692,287,242,4,533,77.02 %
MONROEVILLE WARD 1 DIST 2,656,259,286,2,547,83.38 %
MONROEVILLE WARD 1 DIST 3,830,284,430,11,725,87.35 %
MONROEVILLE WARD 1 DIST 4,931,281,340,12,633,67.99 %
MONROEVILLE WARD 2 DIST 1,937,378,408,16,802,85.59 %
MONROEVILLE WARD 2 DIST 2,1016,371,487,9,867,85.33 %
MONROEVILLE WARD 2 DIST 3,1082,394,493,12,899,83.09 %
MONROEVILLE WARD 3 DIST 1,1241,437,556,15,1008,81.22 %
MONROEVILLE WARD 3 DIST 2,632,285,239,8,532,84.18 %
MONROEVILLE WARD 3 DIST 3,1002,368,490,13,871,86.93 %
MONROEVILLE WARD 3 DIST 4,443,168,206,3,377,85.10 %
MONROEVILLE WARD 4 DIST 1,661,271,278,12,561,84.87 %
MONROEVILLE WARD 4 DIST 2,1036,450,364,16,830,80.12 %
MONROEVILLE WARD 4 DIST 3,974,417,380,23,820,84.19 %
MONROEVILLE WARD 5 DIST 1,586,280,191,11,482,82.25 %
MONROEVILLE WARD 5 DIST 2,904,248,361,18,627,69.36 %
MONROEVILLE WARD 5 DIST 3,947,315,370,28,713,75.29 %
MONROEVILLE WARD 5 DIST 4,695,210,244,12,466,67.05 %
MONROEVILLE WARD 6 DIST 1,837,367,309,4,680,81.24 %
MONROEVILLE WARD 6 DIST 2,895,323,346,17,686,76.65 %
MONROEVILLE WARD 6 DIST 3,1122,370,349,12,731,65.15 %
MONROEVILLE WARD 6 DIST 4,377,79,173,10,262,69.50 %
MONROEVILLE WARD 7 DIST 1,1384,491,633,18,1142,82.51 %
MONROEVILLE WARD 7 DIST 2,853,340,323,14,677,79.37 %
MONROEVILLE WARD 7 DIST 3,610,246,240,32,518,84.92 %
MOON DIST 1,1248,437,340,10,787,63.06 %
MOON DIST 2,1851,759,759,16,1534,82.87 %
MOON DIST 3,1447,564,496,20,1080,74.64 %
MOON DIST 4,782,374,271,12,657,84.02 %
MOON DIST 5,2535,1058,1023,21,2102,82.92 %
MOON DIST 6,2408,1105,869,23,1997,82.93 %
MOON DIST 7,1604,595,553,32,1180,73.57 %
MOON DIST 8,1054,457,393,20,870,82.54 %
MOON DIST 9,2026,799,727,21,1547,76.36 %
MOON DIST 10,786,381,256,12,649,82.57 %
MOON DIST 11,1373,615,514,20,1149,83.69 %
MOON DIST 12,1035,509,371,10,890,85.99 %
MOON DIST 13,718,347,233,5,585,81.48 %
MT LEBANON WARD 1 DIST 1,835,300,387,13,700,83.83 %
MT LEBANON WARD 1 DIST 2,682,260,286,11,557,81.67 %
MT LEBANON WARD 1 DIST 3,656,235,329,6,570,86.89 %
MT LEBANON WARD 1 DIST 4,782,287,387,4,678,86.70 %
MT LEBANON WARD 1 DIST 5,631,248,283,3,534,84.63 %
MT LEBANON WARD 1 DIST 6,1084,344,518,10,872,80.44 %
MT LEBANON WARD 1 DIST 7,767,252,364,16,632,82.40 %
MT LEBANON WARD 2 DIST 1,995,326,507,18,851,85.53 %
MT LEBANON WARD 2 DIST 2,600,215,267,8,490,81.67 %
MT LEBANON WARD 2 DIST 3,718,234,360,10,604,84.12 %
MT LEBANON WARD 2 DIST 4,580,194,292,9,495,85.34 %
