Precinct,Registered Voters,Election Day,Absentee,Provisional,Ballots Cast,Voter Turnout
Shaler Ward 7 Dist 1,596,357,145,6,508,85.23%
Shaler Ward 7 Dist 2,782,474,175,3,652,83.38%
Shaler Ward 7 Dist 3,640,374,131,8,513,80.16%
Shaler Ward 7 Dist 4,1025,605,251,7,863,84.20%
Sharpsburg Dist 1,619,320,92,9,421,68.01%
Sharpsburg Dist 2,850,464,119,10,593,69.76%
Sharpsburg Dist 3,843,496,148,10,654,77.58%
S Fayette Dist 1,582,342,169,1,512,87.97%
S Fayette Dist 2,1157,720,260,9,989,85.48%
S Fayette Dist 3,2001,1136,546,16,1698,84.86%
S Fayette Dist 4,875,486,235,10,731,83.54%
S Fayette Dist 5,1074,689,213,8,910,84.73%
S Fayette Dist 6,1289,756,268,14,1038,80.53%
S Fayette Dist 7,734,403,193,5,601,81.88%
S Fayette Dist 8,1603,865,507,12,1384,86.34%
S Fayette Dist 9,708,340,168,7,515,72.74%
S Fayette Dist 10,740,433,159,8,600,81.08%
S Fayette Dist 11,1140,666,251,18,935,82.02%
S Fayette Dist 12,1051,536,321,18,875,83.25%
South Park Dist 1,775,433,217,9,659,85.03%
South Park Dist 2,777,451,183,5,639,82.24%
South Park Dist 3,714,461,150,7,618,86.55%
South Park Dist 4,918,536,193,14,743,80.94%
South Park Dist 5,747,506,135,3,644,86.21%
South Park Dist 6,924,523,207,4,734,79.44%
South Park Dist 7,1100,563,344,8,915,83.18%
South Park Dist 8,527,333,135,2,470,89.18%
South Park Dist 9,853,417,273,7,697,81.71%
South Park Dist 10,897,539,218,8,765,85.28%
South Park Dist 11,598,348,112,5,465,77.76%
South Park Dist 12,601,361,150,5,516,85.86%
South Park Dist 13,1177,649,353,13,1015,86.24%
S Versailles,222,162,29,0,191,86.04%
Springdale Br Dist 1,690,389,137,9,535,77.54%
Springdale Br Dist 2,599,392,118,3,513,85.64%
Springdale Br Dist 3,577,340,102,8,450,77.99%
Springdale Br Dist 4,473,279,83,6,368,77.80%
Springdale Twp,1187,673,302,18,993,83.66%
Stowe Ward 1,454,201,60,7,268,59.03%
Stowe Ward 2 Dist 1,188,70,19,5,94,50.00%
Stowe Ward 2 Dist 2,688,322,118,13,453,65.84%
Stowe Ward 3,359,166,49,6,221,61.56%
Stowe Ward 4 Dist 1,330,156,75,7,238,72.12%
Stowe Ward 4 Dist 2,360,192,113,1,306,85.00%
Stowe Ward 5,443,178,77,4,259,58.47%
Stowe Ward 6,478,201,70,10,281,58.79%
Stowe Ward 7,293,115,22,2,139,47.44%
Stowe Ward 8,397,151,17,1,169,42.57%
Stowe Ward 9,299,99,34,5,138,46.15%
Swissvale Dist 1,849,345,167,14,526,61.96%
Swissvale Dist 2,744,337,143,8,488,65.59%
Swissvale Dist 3,687,301,155,5,461,67.10%
Swissvale Dist 4,619,288,146,12,446,72.05%
Swissvale Dist 5,736,343,219,5,567,77.04%
Swissvale Dist 6,404,174,60,8,242,59.90%
Swissvale Dist 7,675,335,180,12,527,78.07%
Swissvale Dist 8,710,344,168,2,514,72.39%
Swissvale Dist 9,670,344,143,10,497,74.18%
Swissvale Dist 10,240,115,29,2,146,60.83%
Swissvale Dist 11,678,349,198,3,550,81.12%
Tarentum Ward 1 Dist 1,687,383,73,4,460,66.96%
Tarentum Ward 1 Dist 2,470,285,90,3,378,80.43%
Tarentum Ward 2,558,258,104,5,367,65.77%
Tarentum Ward 3 Dist 1,278,151,33,2,186,66.91%
Tarentum Ward 3 Dist 2,593,326,78,5,409,68.97%
Thornburg,407,279,72,4,355,87.22%
Pennsbury Vill,569,370,103,5,478,84.01%
Trafford,55,32,7,1,40,72.73%
Turtle Creek Ward 1 Dist 1,841,448,170,12,630,74.91%
Turtle Creek Ward 1 Dist 2,415,197,62,4,263,63.37%
Turtle Creek Ward 2 Dist 1,704,316,98,10,424,60.23%
Turtle Creek Ward 2 Dist 2,316,135,49,13,197,62.34%
Turtle Creek Ward 3 Dist 1,553,255,74,6,335,60.58%
Turtle Creek Ward 3 Dist 2,453,221,92,11,324,71.52%
Up St Clair Ward 1 Dist 1,501,281,134,3,418,83.43%
Up St Clair Ward 1 Dist 2,822,446,248,3,697,84.79%
Up St Clair Ward 1 Dist 3,1194,662,347,13,1022,85.59%
Up St Clair Ward 1 Dist 4,810,411,251,4,666,82.22%
Up St Clair Ward 2 Dist 1,988,530,277,4,811,82.09%
Up St Clair Ward 2 Dist 2,711,383,199,6,588,82.70%
Up St Clair Ward 2 Dist 3,1082,587,308,12,907,83.83%
Up St Clair Ward 2 Dist 4,545,317,143,4,464,85.14%
Up St Clair Ward 3 Dist 1,1040,548,289,8,845,81.25%
Up St Clair Ward 3 Dist 2,860,506,236,9,751,87.33%
Up St Clair Ward 3 Dist 3,1432,731,452,7,1190,83.10%
Up St Clair Ward 4 Dist 1,1024,576,290,4,870,84.96%
Up St Clair Ward 4 Dist 2,594,324,148,12,484,81.48%
Up St Clair Ward 4 Dist 3,649,358,188,3,549,84.59%
Up St Clair Ward 4 Dist 4,1120,480,392,9,881,78.66%
Up St Clair Ward 5 Dist 1,1149,642,307,8,957,83.29%
Up St Clair Ward 5 Dist 2,1193,689,339,4,1032,86.50%
Up St Clair Ward 5 Dist 3,921,512,273,8,793,86.10%
Verona Dist 1,516,279,69,11,359,69.57%
Verona Dist 2,571,348,98,4,450,78.81%
Verona Dist 3,613,375,98,7,480,78.30%
Versailles Dist 1,517,271,80,8,359,69.44%
Versailles Dist 2,468,224,92,9,325,69.44%
Wall,324,156,50,0,206,63.58%
West Deer Dist 1,1669,1029,404,3,1436,86.04%
West Deer Dist 2,653,446,92,11,549,84.07%
West Deer Dist 3,840,496,188,0,684,81.43%
West Deer Dist 4,833,467,271,3,741,88.96%
West Deer Dist 5,914,604,151,6,761,83.26%
West Deer Dist 6,802,524,147,12,683,85.16%
West Deer Dist 7,1846,952,652,19,1623,87.92%
West Deer Dist 8,1589,801,594,22,1417,89.18%
W Elizabeth,249,160,23,6,189,75.90%
W Homestead Dist 1,424,175,57,15,247,58.25%
W Homestead Dist 2,465,305,97,5,407,87.53%
W Homestead Dist 3,523,318,130,0,448,85.66%
West Mifflin Dist 1,699,410,148,3,561,80.26%
West Mifflin Dist 2,478,244,107,6,357,74.69%
West Mifflin Dist 3,481,281,93,6,380,79.00%
West Mifflin Dist 4,396,83,21,1,105,26.52%
West Mifflin Dist 5,829,538,166,3,707,85.28%
West Mifflin Dist 6,336,194,71,5,270,80.36%
West Mifflin Dist 7,752,457,128,10,595,79.12%
West Mifflin Dist 8,579,308,101,9,418,72.19%
West Mifflin Dist 9,786,421,193,6,620,78.88%
West Mifflin Dist 10,520,298,114,6,418,80.38%
West Mifflin Dist 11,788,446,150,11,607,77.03%
West Mifflin Dist 12,1025,544,202,11,757,73.85%
West Mifflin Dist 13,543,279,113,5,397,73.11%
West Mifflin Dist 14,933,577,215,10,802,85.96%
West Mifflin Dist 15,596,347,132,6,485,81.38%
West Mifflin Dist 16,1160,616,381,8,1005,86.64%
West Mifflin Dist 17,575,335,137,1,473,82.26%
West Mifflin Dist 18,859,500,208,7,715,83.24%
West Mifflin Dist 19,656,415,134,3,552,84.15%
West Mifflin Dist 20,477,279,131,2,412,86.37%
West Mifflin Dist 21,713,357,190,15,562,78.82%
West View Dist 1,679,399,144,9,552,81.30%
West View Dist 2,758,434,137,5,576,75.99%
West View Dist 3,579,330,124,4,458,79.10%
West View Dist 4,600,362,122,16,500,83.33%
West View Dist 5,796,455,197,13,665,83.54%
West View Dist 6,726,457,157,5,619,85.26%
West View Dist 7,620,348,179,5,532,85.81%
Whitaker Dist 1,455,271,54,2,327,71.87%
Whitaker Dist 2,347,180,63,7,250,72.05%
Whitehall Dist 1,568,318,167,4,489,86.09%
Whitehall Dist 2,595,374,122,3,499,83.87%
Whitehall Dist 3,758,398,213,11,622,82.06%
Whitehall Dist 4,662,412,173,5,590,89.12%
Whitehall Dist 5,741,409,192,9,610,82.32%
Whitehall Dist 6,1099,332,190,42,564,51.32%
Whitehall Dist 7,472,251,124,9,384,81.36%
Whitehall Dist 8,823,485,231,8,724,87.97%
Whitehall Dist 9,587,324,173,7,504,85.86%
Whitehall Dist 10,652,395,151,7,553,84.82%
Whitehall Dist 11,637,397,155,5,557,87.44%
Whitehall Dist 12,588,366,127,10,503,85.54%
Whitehall Dist 13,752,403,275,3,681,90.56%
Whitehall Dist 14,616,346,178,6,530,86.04%
Whitehall Dist 15,1024,527,359,1,887,86.62%
Whitehall Dist 16,627,333,187,6,526,83.89%
White Oak Dist 1,736,425,138,5,568,77.17%
White Oak Dist 2,830,466,156,10,632,76.14%
White Oak Dist 3,900,519,207,10,736,81.78%
White Oak Dist 4,737,429,184,4,617,83.72%
White Oak Dist 5,821,474,190,11,675,82.22%
White Oak Dist 6,754,440,173,7,620,82.23%
White Oak Dist 7,1106,645,252,11,908,82.10%
Wilkins Ward 1 Dist 1,772,405,153,6,564,73.06%
Wilkins Ward 1 Dist 2,667,392,171,11,574,86.06%
Wilkins Ward 1 Dist 3,846,465,234,10,709,83.81%
Wilkins Ward 1 Dist 4,633,390,139,2,531,83.89%
Wilkins Ward 1 Dist 5,454,197,116,4,317,69.82%
Wilkins Ward 2 Dist 1,669,404,144,6,554,82.81%
Wilkins Ward 2 Dist 2,924,446,231,15,692,74.89%
Wilkinsburg Ward 1 Dist 1,922,324,168,21,513,55.64%
Wilkinsburg Ward 1 Dist 2,695,273,85,12,370,53.24%
Wilkinsburg Ward 1 Dist 3,415,141,56,9,206,49.64%
Wilkinsburg Ward 1 Dist 4,631,295,166,6,467,74.01%
Wilkinsburg Ward 1 Dist 5,540,243,157,5,405,75.00%
Wilkinsburg Ward 1 Dist 6,930,295,251,40,586,63.01%
Wilkinsburg Ward 2 Dist 1,734,244,168,21,433,58.99%
Wilkinsburg Ward 2 Dist 2,981,433,282,14,729,74.31%
Wilkinsburg Ward 2 Dist 3,754,255,113,18,386,51.19%
Wilkinsburg Ward 2 Dist 4,506,168,68,10,246,48.62%
Wilkinsburg Ward 2 Dist 5,762,231,137,19,387,50.79%
Wilkinsburg Ward 3 Dist 1,733,396,191,5,592,80.76%
Wilkinsburg Ward 3 Dist 2,692,339,164,2,505,72.98%
Wilkinsburg Ward 3 Dist 3,799,269,99,17,385,48.19%
Wilkinsburg Ward 3 Dist 4,1061,456,238,11,705,66.45%
Wilkinsburg Ward 3 Dist 5,1090,415,221,20,656,60.18%
Wilkinsburg Ward 3 Dist 6,516,198,58,13,269,52.13%
Wilmerding Dist 1,481,178,63,7,248,51.56%
Wilmerding Dist 2,695,327,104,6,437,62.88%
Total:,952539,487402,228625,10031,726058,76.22%
