Precinct,Registered Voters,Election Day,Absentee,Provisional,Ballots Cast,Voter Turnout
Robinson Dist 6,922,475,246,8,729,79.07%
Robinson Dist 7,1428,831,426,11,1268,88.80%
Robinson Dist 8,1820,881,427,16,1324,72.75%
Robinson Dist 9,2532,1152,835,21,2008,79.30%
Ross Ward 1 Dist 1,752,449,205,3,657,87.37%
Ross Ward 1 Dist 2,628,317,208,5,530,84.39%
Ross Ward 1 Dist 3,485,272,128,2,402,82.89%
Ross Ward 1 Dist 4,870,522,194,9,725,83.33%
Ross Ward 2 Dist 1,1300,652,373,9,1034,79.54%
Ross Ward 2 Dist 2,927,574,263,0,837,90.29%
Ross Ward 2 Dist 3,685,383,204,7,594,86.72%
Ross Ward 3 Dist 1,681,404,178,4,586,86.05%
Ross Ward 3 Dist 2,702,402,211,5,618,88.03%
Ross Ward 3 Dist 3,596,365,131,3,499,83.72%
Ross Ward 3 Dist 4,683,420,173,6,599,87.70%
Ross Ward 4 Dist 1,830,511,191,3,705,84.94%
Ross Ward 4 Dist 2,1089,645,263,7,915,84.02%
Ross Ward 4 Dist 3,736,411,228,7,646,87.77%
Ross Ward 4 Dist 4,793,436,233,5,674,84.99%
Ross Ward 5 Dist 1,624,378,153,3,534,85.58%
Ross Ward 5 Dist 2,435,268,102,3,373,85.75%
Ross Ward 5 Dist 3,797,361,278,9,648,81.30%
Ross Ward 5 Dist 4,754,440,197,2,639,84.75%
Ross Ward 6 Dist 1,494,300,107,8,415,84.01%
Ross Ward 6 Dist 2,1008,523,271,9,803,79.66%
Ross Ward 6 Dist 3,693,415,147,2,564,81.39%
Ross Ward 6 Dist 4,601,369,112,4,485,80.70%
Ross Ward 7 Dist 1,599,349,168,3,520,86.81%
Ross Ward 7 Dist 2,640,318,127,11,456,71.25%
Ross Ward 7 Dist 3,750,425,203,8,636,84.80%
Ross Ward 7 Dist 4,613,365,130,7,502,81.89%
Ross Ward 8 Dist 1,1701,792,537,22,1351,79.42%
Ross Ward 8 Dist 2,508,266,121,8,395,77.76%
Ross Ward 8 Dist 3,600,345,167,10,522,87.00%
Ross Ward 9 Dist 1,803,495,218,2,715,89.04%
Ross Ward 9 Dist 2,975,537,278,10,825,84.62%
Ross Ward 9 Dist 3,791,447,213,8,668,84.45%
Rosslyn Farms,415,269,89,4,362,87.23%
Scott Ward 1 Dist 1,587,324,86,10,420,71.55%
Scott Ward 1 Dist 2,671,391,91,7,489,72.88%
Scott Ward 2 Dist 1,447,211,130,6,347,77.63%
Scott Ward 2 Dist 2,654,439,123,7,569,87.00%
Scott Ward 3 Dist 1,543,332,141,3,476,87.66%
Scott Ward 3 Dist 2,697,383,199,9,591,84.79%
Scott Ward 4 Dist 1,753,446,199,5,650,86.32%
Scott Ward 4 Dist 2,605,352,169,0,521,86.12%
Scott Ward 5 Dist 1,611,387,120,8,515,84.29%
Scott Ward 5 Dist 2,719,366,217,7,590,82.06%
Scott Ward 6 Dist 1,645,354,144,11,509,78.91%
Scott Ward 6 Dist 2,836,465,225,14,704,84.21%
Scott Ward 7 Dist 1,914,419,316,6,741,81.07%
Scott Ward 7 Dist 2,660,374,191,1,566,85.76%
Scott Ward 8 Dist 1,525,315,148,4,467,88.95%
Scott Ward 8 Dist 2,1057,448,434,10,892,84.39%
Scott Ward 9 Dist 1,347,158,74,6,238,68.59%
Scott Ward 9 Dist 2,367,200,90,3,293,79.84%
Sewickley Ward 1,972,527,250,6,783,80.56%
Sewickley Ward 2 Dist 1,533,239,154,10,403,75.61%
Sewickley Ward 2 Dist 2,595,303,167,3,473,79.50%
Sewickley Ward 3,1061,560,274,14,848,79.92%
Sewickley Hts,790,418,213,4,635,80.38%
Sewickley Hills,578,345,118,4,467,80.80%
Shaler Ward 1 Dist 1,532,337,121,3,461,86.65%
Shaler Ward 1 Dist 2,532,331,114,2,447,84.02%
Shaler Ward 1 Dist 3,575,353,113,4,470,81.74%
Shaler Ward 1 Dist 4,614,384,159,5,548,89.25%
Shaler Ward 1 Dist 5,639,381,143,5,529,82.79%
Shaler Ward 2 Dist 1,1049,637,268,5,910,86.75%
Shaler Ward 2 Dist 2,778,474,195,4,673,86.50%
Shaler Ward 2 Dist 3,619,401,113,9,523,84.49%
Shaler Ward 2 Dist 4,784,505,186,3,694,88.52%
Shaler Ward 2 Dist 5,363,222,93,3,318,87.60%
Shaler Ward 3 Dist 1,603,340,179,2,521,86.40%
Shaler Ward 3 Dist 2,607,379,143,4,526,86.66%
Shaler Ward 3 Dist 3,579,363,146,5,514,88.77%
Shaler Ward 3 Dist 4,719,450,180,5,635,88.32%
Shaler Ward 3 Dist 5,660,400,165,4,569,86.21%
Shaler Ward 4 Dist 1,869,560,187,6,753,86.65%
Shaler Ward 4 Dist 2,456,279,92,3,374,82.02%
Shaler Ward 4 Dist 3,631,382,161,2,545,86.37%
Shaler Ward 4 Dist 4,660,392,176,3,571,86.52%
Shaler Ward 4 Dist 5,520,322,119,0,441,84.81%
Shaler Ward 5 Dist 1,760,470,190,5,665,87.50%
Shaler Ward 5 Dist 2,665,462,134,6,602,90.53%
Shaler Ward 5 Dist 3,544,323,165,3,491,90.26%
Shaler Ward 5 Dist 4,363,242,79,0,321,88.43%
Shaler Ward 5 Dist 5,776,465,196,3,664,85.57%
Shaler Ward 6 Dist 1,620,408,144,4,556,89.68%
Shaler Ward 6 Dist 2,735,460,151,11,622,84.63%
Shaler Ward 6 Dist 3,582,367,152,0,519,89.18%
Shaler Ward 6 Dist 4,335,198,93,4,295,88.06%
Shaler Ward 6 Dist 5,555,322,163,2,487,87.75%
