Precinct,Registered Voters,Ballots Cast,Voter Turnout
CRAFTON WARD 2 DIST 1,604,461,76.32 %
CRAFTON WARD 2 DIST 2,801,573,71.54 %
CRAFTON WARD 3 DIST 1,958,698,72.86 %
CRAFTON WARD 3 DIST 2,582,433,74.40 %
CRESCENT WARD 1,1111,821,73.90 %
CRESCENT WARD 2,669,503,75.19 %
DORMONT DIST 1,758,547,72.16 %
DORMONT DIST 2,533,424,79.55 %
DORMONT DIST 3,960,641,66.77 %
DORMONT DIST 4,648,475,73.30 %
DORMONT DIST 5,1079,754,69.88 %
DORMONT DIST 6,537,378,70.39 %
DORMONT DIST 7,518,388,74.90 %
DORMONT DIST 8,413,326,78.93 %
DORMONT DIST 9,534,392,73.41 %
DORMONT DIST 10,610,483,79.18 %
DRAVOSBURG DIST 1,564,383,67.91 %
DRAVOSBURG DIST 2,380,287,75.53 %
DRAVOSBURG DIST 3,271,180,66.42 %
DUQUESNE WARD 1 DIST 1,478,327,68.41 %
DUQUESNE WARD 1 DIST 2,540,281,52.04 %
DUQUESNE WARD 1 DIST 3,314,167,53.18 %
DUQUESNE WARD 1 DIST 4,219,110,50.23 %
DUQUESNE WARD 2 DIST 1,397,215,54.16 %
DUQUESNE WARD 2 DIST 2,427,257,60.19 %
DUQUESNE WARD 2 DIST 3,465,291,62.58 %
DUQUESNE WARD 3 DIST 1,242,146,60.33 %
DUQUESNE WARD 3 DIST 2,186,116,62.37 %
DUQUESNE WARD 3 DIST 3,550,357,64.91 %
EAST DEER WARD 1,319,207,64.89 %
EAST DEER WARD 2,594,400,67.34 %
E MCKEESPORT DIST 1,408,306,75.00 %
E MCKEESPORT DIST 2,520,384,73.85 %
E MCKEESPORT DIST 3,492,346,70.33 %
E PITTSBURGH WARD 1,366,237,64.75 %
E PITTSBURGH WARD 2,397,247,62.22 %
E PITTSBURGH WARD 3,502,279,55.58 %
EDGEWOOD DIST 1,1006,756,75.15 %
EDGEWOOD DIST 2,940,729,77.55 %
EDGEWOOD DIST 3,873,663,75.95 %
EDGEWORTH DIST 1,705,541,76.74 %
EDGEWORTH DIST 2,748,578,77.27 %
ELIZABETH BR,913,633,69.33 %
ELIZABETH TP WD 1 DIST 1,582,450,77.32 %
ELIZABETH TP WD 1 DIST 2,919,742,80.74 %
ELIZABETH TP WARD 2,1280,1020,79.69 %
ELIZABETH TP WARD 3,1320,1014,76.82 %
ELIZABETH TP WD 4 DIST 1,909,680,74.81 %
ELIZABETH TP WD 4 DIST 2,459,371,80.83 %
ELIZABETH TP WD 5 DIST 1,435,322,74.02 %
ELIZABETH TP WD 5 DIST 2,826,610,73.85 %
ELIZABETH TP WD 6 DIST 1,611,466,76.27 %
ELIZABETH TP WD 6 DIST 2,726,548,75.48 %
ELIZABETH TP WD 7,1245,958,76.95 %
EMSWORTH DIST 1,776,588,75.77 %
EMSWORTH DIST 2,972,703,72.33 %
ETNA WARD 1,841,583,69.32 %
ETNA WARD 2,700,456,65.14 %
ETNA WARD 3,705,507,71.91 %
FAWN DIST 1,548,393,71.72 %
FAWN DIST 2,901,688,76.36 %
FINDLAY DIST 1,1062,813,76.55 %
FINDLAY DIST 2,1675,1220,72.84 %
FINDLAY DIST 3,1197,914,76.36 %
FOREST HILLS DIST 1,623,519,83.31 %
FOREST HILLS DIST 2,620,499,80.48 %
FOREST HILLS DIST 3,622,497,79.90 %
FOREST HILLS DIST 4,709,536,75.60 %
FOREST HILLS DIST 5,690,548,79.42 %
FOREST HILLS DIST 6,564,463,82.09 %
FOREST HILLS DIST 7,758,544,71.77 %
FOREST HILLS DIST 8,706,561,79.46 %
FORWARD DIST 1,369,278,75.34 %
FORWARD DIST 2,889,619,69.63 %
FORWARD DIST 3,388,288,74.23 %
FORWARD DIST 4,463,361,77.97 %
FOX CHAPEL DIST 1,799,624,78.10 %
FOX CHAPEL DIST 2,1001,753,75.22 %
FOX CHAPEL DIST 3,739,554,74.97 %
FOX CHAPEL DIST 4,1194,925,77.47 %
FOX CHAPEL DIST 5,884,680,76.92 %
FRANKLIN PK WARD 1 DIST 1,1163,877,75.41 %
FRANKLIN PK WARD 1 DIST 2,1196,939,78.51 %
FRANKLIN PK WARD 1 DIST 3,1327,1024,77.17 %
FRANKLIN PK WARD 2 DIST 1,1020,831,81.47 %
FRANKLIN PK WARD 2 DIST 2,1251,937,74.90 %
FRANKLIN PK WARD 2 DIST 3,1317,1073,81.47 %
FRANKLIN PK WARD 3 DIST 1,1286,1008,78.38 %
FRANKLIN PK WARD 3 DIST 2,788,637,80.84 %
FRANKLIN PK WARD 3 DIST 3,1211,970,80.10 %
FRAZER,761,604,79.37 %
GLASSPORT DIST 1,572,398,69.58 %
GLASSPORT DIST 2,391,211,53.96 %
GLASSPORT DIST 3,543,337,62.06 %
GLASSPORT DIST 4,235,135,57.45 %
GLASSPORT DIST 5,495,338,68.28 %
GLASSPORT DIST 6,447,285,63.76 %
GLENFIELD,146,111,76.03 %
GREEN TREE DIST 1,797,661,82.94 %
GREEN TREE DIST 2,1075,896,83.35 %
GREEN TREE DIST 3,975,776,79.59 %
GREEN TREE DIST 4,836,640,76.56 %
HAMPTON DIST 1,1193,944,79.13 %
HAMPTON DIST 2,1202,981,81.61 %
HAMPTON DIST 3,1310,1023,78.09 %
HAMPTON DIST 4,625,493,78.88 %
HAMPTON DIST 5,711,570,80.17 %
HAMPTON DIST 6,656,498,75.91 %
HAMPTON DIST 7,1300,1037,79.77 %
HAMPTON DIST 8,941,780,82.89 %
HAMPTON DIST 9,1254,1004,80.06 %
HAMPTON DIST 10,1472,1138,77.31 %
HAMPTON DIST 11,1678,1347,80.27 %
HAMPTON DIST 12,844,700,82.94 %
HAMPTON DIST 13,760,599,78.82 %
HARMAR DIST 1,1274,1015,79.67 %
HARMAR DIST 2,741,484,65.32 %
HARMAR DIST 3,361,263,72.85 %
HARRISON WARD 1 DIST 1,288,237,82.29 %
HARRISON WARD 1 DIST 2,577,455,78.86 %
HARRISON WARD 1 DIST 3,648,492,75.93 %
HARRISON WARD 2 DIST 1,327,224,68.50 %
HARRISON WARD 2 DIST 2,608,357,58.72 %
HARRISON WARD 3 DIST 1,997,790,79.24 %
HARRISON WARD 3 DIST 2,620,491,79.19 %
HARRISON WARD 4 DIST 1,680,504,74.12 %
HARRISON WARD 4 DIST 2,583,416,71.36 %
HARRISON WARD 5 DIST 1,506,280,55.34 %
HARRISON WARD 5 DIST 2,800,552,69.00 %
HAYSVILLE,57,42,73.68 %
HEIDELBERG,845,611,72.31 %
HOMESTEAD WARD 1 DIST 1,606,329,54.29 %
HOMESTEAD WARD 1 DIST 2,373,236,63.27 %
HOMESTEAD WARD 2 DIST 1,441,250,56.69 %
HOMESTEAD WARD 2 DIST 2,326,200,61.35 %
HOMESTEAD WARD 3 DIST 1,543,292,53.78 %
HOMESTEAD WARD 3 DIST 2,322,187,58.07 %
INDIANA DIST 1,956,706,73.85 %
INDIANA DIST 2,901,680,75.47 %
INDIANA DIST 3,1209,863,71.38 %
INDIANA DIST 4,1090,847,77.71 %
INDIANA DIST 5,926,733,79.16 %
INGRAM DIST 1,812,596,73.40 %
INGRAM DIST 2,624,430,68.91 %
INGRAM DIST 3,905,689,76.13 %
JEFFERSON HL DIST 1,1537,1238,80.55 %
JEFFERSON HL DIST 2,838,637,76.01 %
JEFFERSON HL DIST 3,645,511,79.22 %
JEFFERSON HL DIST 4,689,456,66.18 %
JEFFERSON HL DIST 5,2049,1534,74.87 %
JEFFERSON HL DIST 6,952,744,78.15 %
JEFFERSON HL DIST 7,366,283,77.32 %
JEFFERSON HL DIST 8,1075,910,84.65 %
KENNEDY DIST 1,1550,1195,77.10 %
KENNEDY DIST 2,860,634,73.72 %
KENNEDY DIST 3,1029,790,76.77 %
KENNEDY DIST 4,432,338,78.24 %
KENNEDY DIST 5,1335,1072,80.30 %
KENNEDY DIST 6,821,638,77.71 %
KENNEDY DIST 7,528,428,81.06 %
KILBUCK,578,467,80.80 %
LEET DIST 1,396,319,80.56 %
LEET DIST 2,737,578,78.43 %
LEETSDALE,876,623,71.12 %
LIBERTY DIST 1,919,675,73.45 %
LIBERTY DIST 2,787,600,76.24 %
LINCOLN,693,533,76.91 %
MARSHALL DIST 1,883,693,78.48 %
MARSHALL DIST 2,1080,833,77.13 %
MARSHALL DIST 3,785,609,77.58 %
MARSHALL DIST 4,1055,845,80.09 %
MARSHALL DIST 5,1274,989,77.63 %
MARSHALL DIST 6,970,769,79.28 %
MCCANDLESS WARD 1 DIST 1,1097,861,78.49 %
MCCANDLESS WARD 1 DIST 2,931,620,66.60 %
MCCANDLESS WARD 1 DIST 3,1240,878,70.81 %
MCCANDLESS WARD 2 DIST 1,1407,1071,76.12 %
MCCANDLESS WARD 2 DIST 2,857,701,81.80 %
MCCANDLESS WARD 2 DIST 3,875,697,79.66 %
MCCANDLESS WARD 3 DIST 1,943,765,81.12 %
MCCANDLESS WARD 3 DIST 2,1071,867,80.95 %
MCCANDLESS WARD 3 DIST 3,1038,852,82.08 %
MCCANDLESS WARD 4 DIST 1,1507,1209,80.23 %
MCCANDLESS WARD 4 DIST 2,921,718,77.96 %
MCCANDLESS WARD 4 DIST 3,731,619,84.68 %
MCCANDLESS WARD 5 DIST 1,816,676,82.84 %
MCCANDLESS WARD 5 DIST 2,1341,969,72.26 %
MCCANDLESS WARD 5 DIST 3,943,751,79.64 %
MCCANDLESS WARD 6 DIST 1,485,394,81.24 %
MCCANDLESS WARD 6 DIST 2,1018,838,82.32 %
MCCANDLESS WARD 6 DIST 3,1763,1353,76.74 %
MCCANDLESS WARD 7 DIST 1,1588,1157,72.86 %
MCCANDLESS WARD 7 DIST 2,973,813,83.56 %
MCCANDLESS WARD 7 DIST 3,514,423,82.30 %
MCDONALD,208,151,72.60 %
MCKEESPORT WARD 1,17,5,29.41 %
MCKEESPORT WARD 2,255,95,37.25 %
MCKEESPORT WARD 3 DIST 1,288,167,57.99 %
MCKEESPORT WARD 3 DIST 2,126,71,56.35 %
MCKEESPORT WARD 4,325,146,44.92 %
MCKEESPORT WARD 5,534,269,50.37 %
MCKEESPORT WARD 6 DIST 1,410,185,45.12 %
MCKEESPORT WARD 6 DIST 2,320,165,51.56 %
MCKEESPORT WARD 7 DIST 1,503,315,62.62 %
MCKEESPORT WARD 7 DIST 2,296,182,61.49 %
MCKEESPORT WARD 7 DIST 3,349,199,57.02 %
MCKEESPORT WARD 7 DIST 4,458,263,57.42 %
MCKEESPORT WARD 7 DIST 5,545,353,64.77 %
MCKEESPORT WARD 7 DIST 6,510,316,61.96 %
MCKEESPORT WARD 7 DIST 7,383,220,57.44 %
MCKEESPORT WARD 8 DIST 1,319,177,55.49 %
MCKEESPORT WARD 8 DIST 2,522,345,66.09 %
MCKEESPORT WARD 8 DIST 3,563,325,57.73 %
MCKEESPORT WARD 8 DIST 4,462,331,71.65 %
MCKEESPORT WARD 8 DIST 5,550,276,50.18 %
MCKEESPORT WARD 8 DIST 6,233,148,63.52 %
MCKEESPORT WARD 9 DIST 1,486,301,61.93 %
MCKEESPORT WARD 9 DIST 2,595,377,63.36 %
MCKEESPORT WARD 9 DIST 3,414,273,65.94 %
MCKEESPORT WARD 10 DIST 1,336,185,55.06 %
MCKEESPORT WARD 10 DIST 2,319,206,64.58 %
MCKEESPORT WARD 11 DIST 1,468,277,59.19 %
MCKEESPORT WARD 11 DIST 2,424,264,62.26 %
MCKEESPORT WARD 11 DIST 3,266,194,72.93 %
MCKEESPORT WARD 12 DIST 1,315,199,63.17 %
MCKEESPORT WARD 12 DIST 2,360,273,75.83 %
MCKEESPORT WARD 12 DIST 3,573,442,77.14 %
MCKEES ROCKS WD 1 DIST 1,262,133,50.76 %
MCKEES ROCKS WD 1 DIST 2,570,320,56.14 %
MCKEES ROCKS WD 2 DIST 1,687,395,57.50 %
MCKEES ROCKS WD 2 DIST 2,661,332,50.23 %
MCKEES ROCKS WD 3 DIST 1,767,479,62.45 %
MCKEES ROCKS WD 3 DIST 2,568,322,56.69 %
MCKEES ROCKS WD 3 DIST 3,557,331,59.43 %
MILLVALE DIST 1,584,349,59.76 %
MILLVALE DIST 2,434,284,65.44 %
MILLVALE DIST 3,461,278,60.30 %
MILLVALE DIST 4,435,287,65.98 %
MILLVALE DIST 5,581,394,67.81 %
MONROEVILLE WARD 1 DIST 1,689,495,71.84 %
MONROEVILLE WARD 1 DIST 2,642,504,78.50 %
MONROEVILLE WARD 1 DIST 3,853,682,79.95 %
MONROEVILLE WARD 1 DIST 4,916,585,63.86 %
MONROEVILLE WARD 2 DIST 1,897,728,81.16 %
MONROEVILLE WARD 2 DIST 2,974,786,80.70 %
MONROEVILLE WARD 2 DIST 3,1088,851,78.22 %
MONROEVILLE WARD 3 DIST 1,1212,899,74.17 %
MONROEVILLE WARD 3 DIST 2,658,518,78.72 %
MONROEVILLE WARD 3 DIST 3,989,809,81.80 %
MONROEVILLE WARD 3 DIST 4,419,340,81.15 %
MONROEVILLE WARD 4 DIST 1,671,510,76.01 %
MONROEVILLE WARD 4 DIST 2,1039,768,73.92 %
MONROEVILLE WARD 4 DIST 3,968,767,79.24 %
MONROEVILLE WARD 5 DIST 1,608,486,79.93 %
MONROEVILLE WARD 5 DIST 2,900,579,64.33 %
MONROEVILLE WARD 5 DIST 3,880,609,69.20 %
MONROEVILLE WARD 5 DIST 4,653,392,60.03 %
MONROEVILLE WARD 6 DIST 1,812,630,77.59 %
MONROEVILLE WARD 6 DIST 2,787,574,72.94 %
MONROEVILLE WARD 6 DIST 3,1084,694,64.02 %
MONROEVILLE WARD 6 DIST 4,371,217,58.49 %
MONROEVILLE WARD 7 DIST 1,1353,1027,75.91 %
MONROEVILLE WARD 7 DIST 2,817,625,76.50 %
MONROEVILLE WARD 7 DIST 3,623,465,74.64 %
MOON DIST 1,1454,939,64.58 %
MOON DIST 2,1789,1347,75.29 %
MOON DIST 3,1421,920,64.74 %
MOON DIST 4,759,567,74.70 %
MOON DIST 5,2374,1802,75.91 %
MOON DIST 6,2166,1654,76.36 %
MOON DIST 7,1522,969,63.67 %
MOON DIST 8,972,750,77.16 %
MOON DIST 9,1899,1246,65.61 %
MOON DIST 10,778,584,75.06 %
MOON DIST 11,1328,1035,77.94 %
MOON DIST 12,979,798,81.51 %
MOON DIST 13,709,555,78.28 %
MT LEBANON WARD 1 DIST 1,817,645,78.95 %
MT LEBANON WARD 1 DIST 2,688,497,72.24 %
MT LEBANON WARD 1 DIST 3,641,508,79.25 %
MT LEBANON WARD 1 DIST 4,779,620,79.59 %
MT LEBANON WARD 1 DIST 5,605,499,82.48 %
MT LEBANON WARD 1 DIST 6,1094,796,72.76 %
MT LEBANON WARD 1 DIST 7,787,606,77.00 %
MT LEBANON WARD 2 DIST 1,958,759,79.23 %
MT LEBANON WARD 2 DIST 2,616,492,79.87 %
MT LEBANON WARD 2 DIST 3,709,539,76.02 %
MT LEBANON WARD 2 DIST 4,535,430,80.37 %
MT LEBANON WARD 2 DIST 5,584,506,86.64 %
MT LEBANON WARD 2 DIST 6,553,456,82.46 %
MT LEBANON WARD 2 DIST 7,626,516,82.43 %
MT LEBANON WARD 2 DIST 8,999,754,75.48 %
MT LEBANON WARD 3 DIST 1,647,517,79.91 %
MT LEBANON WARD 3 DIST 2,852,686,80.52 %
MT LEBANON WARD 3 DIST 3,682,529,77.57 %
MT LEBANON WARD 3 DIST 4,757,539,71.20 %
MT LEBANON WARD 3 DIST 5,704,557,79.12 %
MT LEBANON WARD 3 DIST 6,454,360,79.30 %
MT LEBANON WARD 3 DIST 7,827,644,77.87 %
MT LEBANON WARD 3 DIST 8,325,252,77.54 %
MT LEBANON WARD 4 DIST 1,776,566,72.94 %
MT LEBANON WARD 4 DIST 2,868,662,76.27 %
MT LEBANON WARD 4 DIST 3,741,534,72.06 %
MT LEBANON WARD 4 DIST 4,673,541,80.39 %
MT LEBANON WARD 4 DIST 5,611,506,82.82 %
MT LEBANON WARD 4 DIST 6,660,556,84.24 %
MT LEBANON WARD 4 DIST 7,809,587,72.56 %
MT LEBANON WARD 5 DIST 1,629,471,74.88 %
MT LEBANON WARD 5 DIST 2,450,287,63.78 %
MT LEBANON WARD 5 DIST 3,615,469,76.26 %
MT LEBANON WARD 5 DIST 4,574,463,80.66 %
MT LEBANON WARD 5 DIST 5,628,509,81.05 %
MT LEBANON WARD 5 DIST 6,462,378,81.82 %
MT LEBANON WARD 5 DIST 7,780,610,78.21 %
MT LEBANON WARD 5 DIST 8,1012,709,70.06 %
MT OLIVER DIST 1,716,368,51.40 %
MT OLIVER DIST 2,765,463,60.52 %
MT OLIVER DIST 3,506,309,61.07 %
MT OLIVER DIST 4,335,232,69.25 %
MUNHALL DIST 1,496,289,58.27 %
MUNHALL DIST 2,493,276,55.98 %
MUNHALL DIST 3,520,336,64.62 %
MUNHALL DIST 4,427,282,66.04 %
MUNHALL DIST 5,721,497,68.93 %
MUNHALL DIST 6,708,523,73.87 %
MUNHALL DIST 7,1150,860,74.78 %
MUNHALL DIST 8,618,500,80.91 %
MUNHALL DIST 9,694,509,73.34 %
MUNHALL DIST 10,528,364,68.94 %
MUNHALL DIST 11,937,734,78.34 %
MUNHALL DIST 12,579,454,78.41 %
NEVILLE WARD 1,279,184,65.95 %
NEVILLE WARD 2,234,133,56.84 %
NEVILLE WARD 3,273,209,76.56 %
N BRADDOCK WARD 1 DIST 1,220,167,75.91 %
N BRADDOCK WARD 1 DIST 2,517,342,66.15 %
N BRADDOCK WARD 1 DIST 3,566,337,59.54 %
N BRADDOCK WARD 2 DIST 1,450,269,59.78 %
N BRADDOCK WARD 2 DIST 2,615,395,64.23 %
N BRADDOCK WARD 3 DIST 1,376,235,62.50 %
N BRADDOCK WARD 3 DIST 2,525,339,64.57 %
N FAYETTE DIST 1,1994,1454,72.92 %
N FAYETTE DIST 2,2266,1533,67.65 %
N FAYETTE DIST 3,2434,1552,63.76 %
N FAYETTE DIST 4,1067,701,65.70 %
N FAYETTE DIST 5,2330,1635,70.17 %
N VERSAILLES WD 1 DIST 1,682,474,69.50 %
N VERSAILLES WD 1 DIST 2,674,524,77.74 %
N VERSAILLES WD 2 DIST 1,640,475,74.22 %
N VERSAILLES WD 2 DIST 2,215,150,69.77 %
N VERSAILLES WD 3 DIST 1,495,385,77.78 %
N VERSAILLES WD 3 DIST 2,621,428,68.92 %
N VERSAILLES WD 4 DIST 1,468,340,72.65 %
N VERSAILLES WD 4 DIST 2,403,303,75.19 %
N VERSAILLES WD 5 DIST 1,545,323,59.27 %
N VERSAILLES WD 5 DIST 2,430,234,54.42 %
N VERSAILLES WD 6 DIST 1,633,485,76.62 %
N VERSAILLES WD 6 DIST 2,537,399,74.30 %
N VERSAILLES WARD 7,703,453,64.44 %
OAKDALE DIST 1,584,444,76.03 %
OAKDALE DIST 2,438,343,78.31 %
OAKMONT DIST 1,935,711,76.04 %
OAKMONT DIST 2,1074,812,75.61 %
OAKMONT DIST 3,738,561,76.02 %
OAKMONT DIST 4,865,651,75.26 %
OAKMONT DIST 5,722,533,73.82 %
OAKMONT DIST 6,1022,770,75.34 %
OHARA WARD 1 DIST 1,1031,732,71.00 %
OHARA WARD 1 DIST 2,641,492,76.76 %
OHARA WARD 2 DIST 1,596,470,78.86 %
OHARA WARD 2 DIST 2,901,705,78.25 %
OHARA WARD 3 DIST 1,677,540,79.76 %
OHARA WARD 3 DIST 2,578,454,78.55 %
OHARA WARD 4 DIST 1,535,411,76.82 %
OHARA WARD 4 DIST 2,763,626,82.04 %
OHARA WARD 5 DIST 1,736,578,78.53 %
OHARA WARD 5 DIST 2,866,681,78.64 %
OHIO DIST 1,1347,1075,79.81 %
OHIO DIST 2,1437,1179,82.05 %
OHIO DIST 3,1741,1313,75.42 %
GLEN OSBORNE,437,347,79.41 %
PENN HILLS WARD 1 DIST 1,767,535,69.75 %
PENN HILLS WARD 1 DIST 2,745,541,72.62 %
PENN HILLS WARD 1 DIST 3,545,351,64.40 %
PENN HILLS WARD 1 DIST 4,347,217,62.54 %
PENN HILLS WARD 1 DIST 5,263,176,66.92 %
PENN HILLS WARD 2 DIST 1,802,540,67.33 %
PENN HILLS WARD 2 DIST 2,751,519,69.11 %
