tract,race_percent_white,race_percent_black,race_percent_native,race_percent_asian,race_percent_pacific_islander,race_percent_hispanic,race_percent_other,income_percent_below_15K,income_percent_15K_35K,income_percent_35K_65K,income_percent_above_65K,year
"Census Tract 1903, Allegheny County, Pennsylvania",89.0,4.2,0.0,0.0,0.0,4.599999999999994,0.0,14.4,29.400000000000002,23.9,23.9,2014
"Census Tract 1911, Allegheny County, Pennsylvania",96.1,0.2,0.2,1.4,0.0,0.0,0.0,21.7,27.4,26.799999999999997,15.9,2014
"Census Tract 1914, Allegheny County, Pennsylvania",90.9,7.2,0.0,0.5,0.4,0.6999999999999886,0.0,24.0,30.4,27.3,12.899999999999999,2014
"Census Tract 1915, Allegheny County, Pennsylvania",75.5,13.5,0.0,1.1,0.0,8.700000000000003,0.0,28.8,41.5,20.8,4.8,2014
"Census Tract 1916, Allegheny County, Pennsylvania",75.2,15.1,0.0,1.7,0.0,3.299999999999997,0.9,30.5,30.799999999999997,19.6,7.4,2014
"Census Tract 1917, Allegheny County, Pennsylvania",81.7,5.6,0.5,4.1,0.0,1.7999999999999972,0.2,25.6,33.6,21.799999999999997,10.399999999999999,2014
"Census Tract 1918, Allegheny County, Pennsylvania",94.0,1.0,0.0,0.9,0.0,0.7000000000000028,0.6,22.299999999999997,29.8,26.9,15.5,2014
"Census Tract 1919, Allegheny County, Pennsylvania",80.4,14.9,0.0,1.0,0.0,0.0,0.0,23.7,36.7,25.700000000000003,8.4,2014
"Census Tract 1920, Allegheny County, Pennsylvania",77.1,11.0,0.2,0.8,0.0,5.6000000000000085,0.8,30.9,27.9,20.5,11.0,2014
"Census Tract 201, Allegheny County, Pennsylvania",68.5,16.1,0.4,9.3,0.1,2.700000000000003,0.0,39.300000000000004,11.5,14.6,23.3,2014
"Census Tract 2022, Allegheny County, Pennsylvania",60.8,27.4,0.0,5.7,0.0,1.8000000000000043,0.6,31.4,26.4,23.3,10.0,2014
"Census Tract 2023, Allegheny County, Pennsylvania",78.8,5.9,0.5,8.7,0.0,1.7000000000000028,0.0,21.5,26.4,29.1,16.8,2014
"Census Tract 203, Allegheny County, Pennsylvania",81.3,7.5,0.0,11.2,0.0,0.0,0.0,7.9,20.5,22.0,46.1,2014
