,tract,total,male_percent,female_percent,disability_percent,male_disability_percent,female_disability_percent,year
72,"Census Tract 2814, Allegheny County, Pennsylvania",2123,0.4583137070183702,0.5416862929816297,0.1521431935939708,0.04898728214790391,0.10315591144606688,2013
73,"Census Tract 2815, Allegheny County, Pennsylvania",1423,0.45256500351370343,0.5474349964862966,0.10541110330288124,0.03865073787772312,0.06676036542515812,2013
74,"Census Tract 2901, Allegheny County, Pennsylvania",2050,0.4892682926829268,0.5107317073170732,0.21073170731707316,0.09951219512195122,0.11121951219512195,2013
75,"Census Tract 2902, Allegheny County, Pennsylvania",3671,0.4560065377281395,0.5439934622718605,0.21111413783710162,0.08580768183056388,0.12530645600653773,2013
76,"Census Tract 2904, Allegheny County, Pennsylvania",3878,0.48684889118102115,0.5131511088189789,0.16554925219185146,0.07710159876224858,0.08844765342960288,2013
77,"Census Tract 3001, Allegheny County, Pennsylvania",4667,0.42811227769445037,0.5718877223055496,0.1264195414613242,0.04842511249196486,0.07799442896935933,2013
78,"Census Tract 305, Allegheny County, Pennsylvania",2062,0.2943743937924345,0.7056256062075654,0.23569350145489815,0.05431619786614937,0.1813773035887488,2013
79,"Census Tract 3102, Allegheny County, Pennsylvania",3428,0.43173862310385064,0.5682613768961493,0.14906651108518088,0.0749708284714119,0.07409568261376896,2013
80,"Census Tract 3103, Allegheny County, Pennsylvania",987,0.49240121580547114,0.5075987841945289,0.11955420466058764,0.03850050658561297,0.08105369807497467,2013
81,"Census Tract 3204, Allegheny County, Pennsylvania",2050,0.5068292682926829,0.49317073170731707,0.1151219512195122,0.06975609756097562,0.045365853658536584,2013
82,"Census Tract 3206, Allegheny County, Pennsylvania",2441,0.49774682507169193,0.5022531749283081,0.12576812781646865,0.04014748054076198,0.08562064727570667,2013
83,"Census Tract 3207, Allegheny County, Pennsylvania",1627,0.49846342962507684,0.5015365703749232,0.16594960049170251,0.07744314689612784,0.08850645359557467,2013
84,"Census Tract 4011, Allegheny County, Pennsylvania",4502,0.4653487338960462,0.5346512661039537,0.13838294091514883,0.0504220346512661,0.08796090626388271,2013
85,"Census Tract 4012, Allegheny County, Pennsylvania",3347,0.46638780997908574,0.5336121900209142,0.2662085449656409,0.12727815954586197,0.1389303854197789,2013
86,"Census Tract 4013, Allegheny County, Pennsylvania",2587,0.4526478546579049,0.5473521453420951,0.12833397758020873,0.04986470815616544,0.0784692694240433,2013
87,"Census Tract 402, Allegheny County, Pennsylvania",2006,0.4172482552342971,0.5827517447657029,0.15154536390827517,0.06779661016949153,0.08374875373878365,2013
88,"Census Tract 4020, Allegheny County, Pennsylvania",3162,0.44560404807084125,0.5543959519291588,0.17773561037318153,0.05660974067046173,0.1211258697027198,2013
89,"Census Tract 4035, Allegheny County, Pennsylvania",4528,0.5004416961130742,0.4995583038869258,0.18484982332155478,0.0896643109540636,0.09518551236749116,2013
90,"Census Tract 404, Allegheny County, Pennsylvania",2146,0.5591798695246971,0.4408201304753029,0.1048462255358807,0.04473438956197577,0.06011183597390494,2013
91,"Census Tract 4040, Allegheny County, Pennsylvania",1346,0.5148588410104011,0.4851411589895988,0.13298662704309064,0.061664190193164936,0.0713224368499257,2013
92,"Census Tract 405, Allegheny County, Pennsylvania",3340,0.25508982035928146,0.7449101796407186,0.06796407185628743,0.017365269461077845,0.05059880239520958,2013
93,"Census Tract 4050, Allegheny County, Pennsylvania",1124,0.5080071174377224,0.4919928825622776,0.15658362989323843,0.09786476868327403,0.05871886120996441,2013
94,"Census Tract 406, Allegheny County, Pennsylvania",2227,0.4755276156264032,0.5244723843735968,0.0552312528064661,0.0327795240233498,0.0224517287831163,2013
95,"Census Tract 4060, Allegheny County, Pennsylvania",2422,0.5123864574731627,0.4876135425268373,0.15152766308835672,0.0763831544178365,0.07514450867052024,2013
96,"Census Tract 4070.01, Allegheny County, Pennsylvania",4787,0.48485481512429496,0.515145184875705,0.14894505953624398,0.05974514309588469,0.08919991644035931,2013
97,"Census Tract 4070.02, Allegheny County, Pennsylvania",6914,0.4732426959791727,0.5267573040208273,0.10240092565808505,0.05597338733005496,0.04642753832803009,2013
98,"Census Tract 4080.01, Allegheny County, Pennsylvania",4737,0.49461684610512985,0.5053831538948702,0.12919569347688412,0.051931602279924,0.07726409119696011,2013
99,"Census Tract 4080.02, Allegheny County, Pennsylvania",6348,0.4585696282293636,0.5414303717706365,0.06742281033396345,0.027095148078134845,0.04032766225582861,2013
100,"Census Tract 409, Allegheny County, Pennsylvania",2598,0.523094688221709,0.476905311778291,0.12278675904541955,0.05388760585065435,0.06889915319476521,2013
101,"Census Tract 4090, Allegheny County, Pennsylvania",11670,0.5213367609254499,0.4786632390745501,0.0480719794344473,0.02579263067694944,0.022279348757497857,2013
102,"Census Tract 4100, Allegheny County, Pennsylvania",1217,0.5119145439605588,0.48808545603944126,0.0780608052588332,0.038619556285949055,0.03944124897288414,2013
103,"Census Tract 4110, Allegheny County, Pennsylvania",7105,0.501759324419423,0.49824067558057705,0.06643209007741027,0.03589021815622801,0.030541871921182268,2013
104,"Census Tract 4120.01, Allegheny County, Pennsylvania",8382,0.4784061083273682,0.5215938916726318,0.06370794559770938,0.025888809353376282,0.03781913624433309,2013
